Title job,Employer,Link profile employer,Location,How long ago,Recruiter,Profile recruiter,Description offer,Link offer
QA,Banco Falabella Perú,https://pe.linkedin.com/company/banco-falabella-peru?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",8 hours ago,,,"Descripción EmpresaSomos más de 88 mil personas que cada día trabajamos por el firme Propósito - Simplificar y Disfrutar más la Vida. Estamos presentes en 9 países y compuestos por cinco grandes marcas posicionadas de diversas industrias: Falabella Retail, Sodimac, Banco Falabella, Tottus y Mallplaza. Cada una de éstas nos hace ser quienes somos, y es entre todos, como Un Solo Equipo, que buscamos diariamente reinventarnos y superar las experiencias de nuestros clientes.Un Equipo lleno de sueños que hace que las cosas pasen. nos atrevemos a emprender e innovar, a tomar riesgos y a generar oportunidades que nos permitan estar siempre a la vanguardia lo que nos lleva a reinventarnos para entregar la mejor experiencia de compra en cualquier punto de encuentro con nosotros.Misión Del CargoRealizar pruebas manuales o automatizadas en ambientes preproductivosFunciones Del Cargo¡Si tienes una mente inquieta y te gusta soñar en grande, este llamado es para ti!En Grupo Falabella buscamos a nuestro/a próximo/a QA, con base en San Borja, Perú.Somos Falabella, UN equipo diverso con más de 100 mil colaboradores compuesto por grandes marcas: Falabella Retail, Sodimac, Banco Falabella, Seguros Falabella, Tottus, Mallplaza y Open Plaza. Hoy tenemos presencia en 7 países de América Latina, además de oficinas en China e India.¿Cuál es el principal objetivo del cargo?Realizar pruebas manuales o automatizadas en ambientes preproductivos.¿Qué harás en el día a día? Estimar, planificar y ejecutar pruebas de certificación Verificar, gestionar y comunicar casos de prueba Generar los entregables del proceso de certificación Documentar las evidencias de las pruebas realizadas en las herramientas corporativas Registrar defectos encontrados durante las pruebas Crear dashboards de ejecución y seguimiento de defectos. Generar informes de avance y cierre de pruebas Proponer casos post producción y seguimiento las pruebas de regresión en cada paso a producción Priorizar acciones que permitan automatizar las pruebas¿Qué necesitas para postular? Título en: Ing. Sistemas o carreras a fines 3 o más años de experiencia en pruebas de certificación (excluyente) Certificación ISTQB tester fundations o afines (excluyente) Conocimientos de automatización de pruebas (excluyente) Conocimiento y experiencia en bases de datos (SQL, Oracle, etc) (excluyente) Conocimiento y experiencia en ejecución de servicios (SOAP, APIs) Disponibilidad para asistir al menos 3 veces por semana en San Borja (excluyente)En Nuestro Equipo Encontrarás Espacios para crear e innovar. Serás parte de un lugar lleno de oportunidades de desarrollo. Tener un trabajo con sentido y donde se promueve la calidad de vida. Participar en voluntariados. ¡Pertenecer a una empresa llena de energía!RequisitosBachiller o Egresado de Ing. Sistemas o carreras a fines3 o más años de experiencia en pruebas de certificación (excluyente)Certificación ISTQB tester fundations o afines (excluyente)Deseable conocimiento de bancaConocimientos de automatización de pruebas (excluyente)Disponibilidad para trabajar al menos 3 veces por semana en oficina ubicada en San Borja (excluyenteConocimiento y experiencia en bases de datos (SQL, Oracle, etc) (excluyente)Conocimiento y experiencia en ejecución de servicios (SOAP, APIs)Condiciones OfertaDescripción proceso de selección:El proceso de selección se realiza a través de Aira - plataforma de reclutamiento diseñado para mejorar tu experiencia de postulación.Para Postular Solo Necesitas Postular a la oferta Revisar tu email Ingresar a Aira y contestar las preguntas y/o pruebas solicitadasLuego, si vemos que tu perfil se ajusta a lo que estamos buscando, te contactaremos por email (a través de Aira) para seguir a la etapa presencial.",https://pe.linkedin.com/jobs/view/qa-at-banco-falabella-per%C3%BA-4328872366?position=1&pageNum=0&refId=9ekpppNP20hvywnyJ9kMyQ%3D%3D&trackingId=o1R1LF1Bt0Ebpdo%2F5QFPOA%3D%3D
QA Híbrido,Softtek,https://mx.linkedin.com/company/softtek?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",10 hours ago,Katherine Alarcon Carbajal,https://pe.linkedin.com/in/katherine-alarcon-carbajal-b94359230,"Softtek es un proveedor global de servicios orientados a procesos de TI con más de 30 oficinas en Norteamérica, Latinoamérica, Europa y Asia. Maximizamos el valor del software para el mundo: Creamos, Probamos, Implementamos y damos mantenimiento a sistemas que empoderan organizaciones e individuos. En la actualidad nos encontramos en la búsqueda de un talento para el perfil: Analista QARequisitos:Bachiller en Ingeniería de Sistemas, Ingeniería Informática, Ingeniería o carreras afines.+4 años de experiencia como Analista de Calidad, QA, Tester o afines.+4 años de experiencia con pruebas de APIs con postman+3 años de experiencia en pruebas performance con JmterExperiencia en automatizacion con Selenium o Karate.Competencia técnica medio de herramientas para la ejecución y seguimiento de pruebas.Metodologías de desarrollo de sistemas (ágiles, no ágiles).Conocimientos basicos en automatizacion.Funciones:Diseñar el plan de Testing, casos de prueba y estrategia a aplicar para las distintas actividades de Testing necesarias.Preparación, identificación de data para la verificación de los productos desarrollados.Ejecutar los casos de prueba y llevar un registro de los defectos encontrados, así como realizar el seguimiento de los mismos hasta su adecuada corrección.Analizar y reportar los resultados de las pruebas, estadísticas, etc.Brindar soporte en las actividades de integración y verificar que las versiones liberadas cumplan con los requisitos de calidad establecidos.Ofrecemos:Ingreso a planilla con todos los beneficios de ley.EPS al 100%Modalidad de trabajo: HIBRIDOCapacitación constante y línea de carrera.Podrás optar por los descuentos corporativos en empresas de entretenimiento, educación, entre otros.Contamos con una plataforma exclusiva virtual con más de 3,000 cursos orientados a potencializar tus habilidades técnicas como blandas.Te invitamos a conocer más sobre la #SofttekLife en: https://www.softtek.com/es-pe/haz-tu-carrera-en-softtekEn Softtek reconocemos que el talento es diverso; respetamos la identidad y condiciones de vida de cada persona y promovemos la equidad de trato y de oportunidades. Para lograr lo anterior, creamos un ambiente incluyente en el cual las personas muestran qué las define y emplean sus diferentes características para lograr mejores resultados.Por ello, promovemos la diversidad generacional, origen étnico, nacionalidad y la inclusión de personas con habilidades diferentes y/o discapacidad. En cumplimiento de la Ley N° 29733 y su reglamento.",https://pe.linkedin.com/jobs/view/qa-h%C3%ADbrido-at-softtek-4386921486?position=2&pageNum=0&refId=9ekpppNP20hvywnyJ9kMyQ%3D%3D&trackingId=Y9tOILA7H%2FEZU%2BeOh7U%2FNg%3D%3D
Quality Assurance Specialist,Playtech,https://uk.linkedin.com/company/playtech?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",11 hours ago,,,"✨ Playtech Lima is part of Playtech - the world's largest online gaming software supplier traded on the London Stock Exchange Main Market Playtech offers cutting-edge, value added solutions to the industry's leading gaming operators. Since Playtech's inception in 1999, our approach has been centered on continual development. Playtech Lima represents Playtech Live product, and our studios contain hundreds of state-of-the-art cameras, broadcasting in premium HD quality, offering the fastest streaming and highest up-time in the market.Job DescriptionWhat You’ll DoEnsure the highest quality in our live production by testing and monitoring both new and existing gaming products according to company standards.Run internal test cycles before product launches and prepare all required documentation.Create clear reports and overviews that support decision‑making across the business.Identify and flag issues or potential risks in production, collaborating with relevant teams to follow up until resolution.Review player complaints and significant incidents, investigate recurring issues, and update management when needed.Alert IT Support and Shift Managers about any abnormalities or suspicious activity detected on production tables.Work closely with multiple departments and teams during your shift.Suggest improvements to enhance the overall User Interface (UI) and User Experience (UX).Contribute to updating company rules and procedures within the scope of your role.QualificationsWhat You Bring to the Team Education: Technical or higher education.Language Skills: Advanced English proficiency.Tech‑Savviness: Strong computer skills (MS Office, Confluence, Jira, MS Teams, etc.).People & Networking Skills: Ability to work smoothly with others, handle diverse perspectives, and manage potential conflicts with professionalism.Communication: Able to clearly explain processes, rules, issues, and innovations. Comfortable teaching, presenting, and sharing updates.Multitasking & Decision‑Making: Capable of juggling multiple tasks and making confident, well‑reasoned decisions.Organization: Strong planning and time‑management abilities.Quick Thinking: Able to react fast, understand problems quickly, and find effective solutions.Stress Management: High resilience when working under pressure.Attention to Detail: Accuracy and a sharp eye for spotting inconsistencies.Commercial Awareness: Understanding of how decisions impact the business.Additional InformationNeeds to be updated",https://pe.linkedin.com/jobs/view/quality-assurance-specialist-at-playtech-4386923012?position=3&pageNum=0&refId=9ekpppNP20hvywnyJ9kMyQ%3D%3D&trackingId=sywRHeX3ceQqN8PkNO7UJg%3D%3D
Mid QA Engineer,Encora Inc.,https://www.linkedin.com/company/encorainc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",11 hours ago,,,"Información ImportanteUbicación: PerúModalidad de trabajo: HíbridoResumen del puestoComo un Mid QA Engineer (20460), formarás parte de un equipo tecnológico y ágil altamente calificado por respaldar y desarrollar soluciones de vanguardia para cumplir con los requisitos de nuestro negocio. Nos ayudará a acelerar los resultados empresariales de nuestros clientes mediante la innovación de productos digitales de vanguardia.Responsabilidades y FuncionesDiseñar y ejecutar casos de prueba manuales y automatizados para asegurar la calidad de aplicaciones web, backend y mobileColaborar con equipos multidisciplinarios en entornos ágiles para validar requerimientos funcionales y no funcionalesDesarrollar y mantener scripts de automatización utilizando herramientas como Selenium, Playwright, Postman o KarateIdentificar, reportar y hacer seguimiento de defectos, contribuyendo a la mejora continua de los procesos de calidadRequisitos y HabilidadesBachiller o titulado en Ingeniería de Sistemas, Computación o carreras afines, o experiencia equivalente3 a 5 años de experiencia en testing de software, tanto manual como automatizadoConocimiento en metodologías de testing como caja negra, caja blanca y caja grisExperiencia con herramientas de gestión de pruebas como Jira, QMetry, Xray o ZephyrDominio de pruebas funcionales como regresión, integración, smoke y exploratoriasExperiencia en pruebas no funcionales como performance (JMeter) y conocimientos básicos en seguridad (OWASP)Experiencia en automatización de pruebas backend con herramientas como Postman, Swagger, Karate o SoapUIExperiencia en automatización frontend con Selenium, Playwright y pruebas cross-browserFamiliaridad con herramientas de CI/CD como Jenkins, Azure DevOps y control de versiones como GitHub o BitbucketConocimiento de bases de datos y SQL (MySQL, Oracle o similares)Acerca de EncoraEncora es el socio preferido de ingeniería digital y modernización de algunas de las principales empresas del mundo y empresas nativas digitales. Con más de 9,000 expertos en 47+ oficinas y laboratorios de innovación en todo el mundo, las prácticas tecnológicas de Encora incluyen Ingeniería y Desarrollo de Productos, Servicios en la Nube, Ingeniería de Calidad, DevSecOps, Datos y Análisis, Experiencia Digital, Ciberseguridad e Ingeniería de IA y LLM.En Encora, contratamos profesionales únicamente en función de sus habilidades y calificaciones, y no discriminamos en función de la edad, discapacidad, religión, género, orientación sexual, estado socioeconómico o nacionalidad.",https://pe.linkedin.com/jobs/view/mid-qa-engineer-at-encora-inc-4386781834?position=4&pageNum=0&refId=9ekpppNP20hvywnyJ9kMyQ%3D%3D&trackingId=IUIveTyw4oAJMhQUiBMS8A%3D%3D
QA Engineer Semi Senior,Encora Inc.,https://www.linkedin.com/company/encorainc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",11 hours ago,,,"Información ImportanteUbicación: PerúModalidad de trabajo: Híbrido, asistencia a oficina a demandaResumen del puestoComo un QA Engineer Semi Senior (20424), formarás parte de un equipo tecnológico y ágil altamente calificado por respaldar y desarrollar soluciones de vanguardia para cumplir con los requisitos de nuestro negocio. Nos ayudará a acelerar los resultados empresariales de nuestros clientes mediante la innovación de productos digitales de vanguardia.Requisitos y HabilidadesProfesionales de Ing. de Sistemas, Software, Informática o afines con +4 años de experiencia en la posición.Experiencia trabajando con:Jira, Gherkin, BitbucketCaja blanca, negra y pruebas funcionalesScrum y metodologías ágilesSQLAS400 (deseable)GitAnálisis, diseño, ejecución y documentación de casos de prueba.Conocimiento sólido de ISTQBConocimiento básico en Automation Acerca de EncoraEncora es el socio preferido de ingeniería digital y modernización de algunas de las principales empresas del mundo y empresas nativas digitales. Con más de 9,000 expertos en 47+ oficinas y laboratorios de innovación en todo el mundo, las prácticas tecnológicas de Encora incluyen Ingeniería y Desarrollo de Productos, Servicios en la Nube, Ingeniería de Calidad, DevSecOps, Datos y Análisis, Experiencia Digital, Ciberseguridad e Ingeniería de IA y LLM.En Encora, contratamos profesionales únicamente en función de sus habilidades y calificaciones, y no discriminamos en función de la edad, discapacidad, religión, género, orientación sexual, estado socioeconómico o nacionalidad.",https://pe.linkedin.com/jobs/view/qa-engineer-semi-senior-at-encora-inc-4386914321?position=5&pageNum=0&refId=9ekpppNP20hvywnyJ9kMyQ%3D%3D&trackingId=mh7Zh3E5A%2FTBVI4yMzqXcQ%3D%3D
QA Automatizador,Inetum,https://fr.linkedin.com/company/inetum?trk=public_jobs_jserp-result_job-search-card-subtitle,Lima Metropolitan Area,21 hours ago,,,"Descripción del empleoNos encontramos en la busqueda de (04) QA AutomatizadorRequisitosEgresado de las carreras universitarias de Ingeniería de Sistemas, Ingeniería Informática o Ingeniería de Software y/o afines.Experiencia mínima de 3 años a más dentro del rol.Experiencia en herramientas de Casos de Pruebas: Azure Test PlanExperiencia en PythonExperiencia en DBeaver y Trino - BasicoExperiencia en SonarQube (Revisión de código).Experiencia en validación de datos y uso de herramientas de Analytics.Experiencia en pruebas en pipelines de datos y validación de integridad.Experiencia bajo Marco de trabajo Agile (Scrum/Kanban).Conocimiento del proceso de Software Test Lyfe Cycle (STLC)Conocimiento del proceso de Softwate Development Lyfe Cycle (SDLC)Conocimiento de BDD relacionales (SQL) + BDD No Relacionales (MongoDB)Conocimiento de API Testing (Postman/SoapUI)Conocimiento de RestAssure+Java para backendConocimiento de Selenium+Java para frontEndConocimiento deseable en JMeterConocimiento deseable en GitHubInformación adicional",https://pe.linkedin.com/jobs/view/qa-automatizador-at-inetum-4386570581?position=6&pageNum=0&refId=9ekpppNP20hvywnyJ9kMyQ%3D%3D&trackingId=evfbl2j1Yx5N64KXSmXnzA%3D%3D
QA Automation Engineer Web,"Bluetab, an IBM Company (América)",https://mx.linkedin.com/company/bluetab-america?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",11 hours ago,Carolina Fonseca,https://co.linkedin.com/in/carolinafonsecatalentacquisition,"¡Lleva tu carrera en QA al siguiente nivel con Bluetab, an IBM Company! 🇵🇪🚀En /Bluetab no solo somos un Great Place To Work, somos una familia de apasionados por la tecnología que busca transformar el mundo de los datos. Estamos en la búsqueda de nuestro próximo QA Automation Engineer Web Sr para sumarse al proyecto de Ecosistemas Cloud más importante del país. 🌟Aquí no eres un número más; valoramos tu liderazgo, tu potencial de crecimiento y tus ganas de innovar en una organización transversal.💡 ¿Qué te ofrecemos?📝 Estabilidad: Contrato indefinido con salario competitivo.🏥 Salud Integral: Seguro EPS cubierto al 100% + Seguro Oncológico (para ti y tus derechohabientes).🥗 Sodexo: Vale de alimentos mensual para tus almuerzos.💰 Extras: Aguinaldo en diciembre para celebrar en grande.🎓 Crecimiento Exponencial: * Certificaciones técnicas cubiertas al 100%.Bono por certificación (¡Desde 50% hasta 1 sueldo completo!).Acceso ilimitado a plataformas e-learning y clases de Inglés.Plan de carrera y formación continua.⏰ Balance: Horario de lunes a viernes y modalidad híbrida en Lima.🚀 ¿Qué buscamos?Necesitamos un perfil Senior con ""Ownership"" técnico y experiencia en:Automatización (Indispensable): +3 años construyendo frameworks con Cypress. Dominio de WebdriverIO, Appium y Cucumber.Testing de APIs: Nivel avanzado en pruebas REST y/o GraphQL.Tech Stack: Sólidos conocimientos en JavaScript/TypeScript, Git/GitHub y entornos de CI/CD (GitHub Actions).Performance: Ejecución y análisis de pruebas con k6.Cloud: Experiencia deseable en entornos Azure.🎯 Queremos conocerte si...Te apasiona el Liderazgo Técnico y guiar al equipo hacia la excelencia.Tienes una mentalidad de ""Shift Left"" (mitigación de riesgos desde el inicio).Eres proactivo, te encanta resolver problemas y trabajar de forma colaborativa.Buscas un entorno que valore tanto tu crecimiento profesional como el personal.💻 En /Bluetab, decidimos juntos tu camino: técnico, funcional o de gestión. Además, tendrás un Career Coach que te acompañará en tu desarrollo profesional.¿Estás listo para este reto?""Bluetab"" es una empresa del grupo IBM. Bluetab será la entidad contratante. Al proceder con esta solicitud, usted entiende que Bluetab compartirá su información personal con otras filiales de IBM involucradas en su proceso de reclutamiento, selección y contratación, donde quiera que éstas se encuentren. Encontrará más información sobre cómo IBM protege su información personal, incluidas las medidas en caso de transferencia transfronteriza de datos, aquí: https://www.ibm.com/careers/us-en/privacy-policy/"".",https://pe.linkedin.com/jobs/view/qa-automation-engineer-web-at-bluetab-an-ibm-company-am%C3%A9rica-4386778739?position=7&pageNum=0&refId=9ekpppNP20hvywnyJ9kMyQ%3D%3D&trackingId=iNBZBzfLnGXPITPBIBJt7A%3D%3D
QA Automatizador,Tata Consultancy Services,https://in.linkedin.com/company/tata-consultancy-services?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",9 hours ago,Marianella G.,https://in.linkedin.com/in/marianella-gutierrez,"Tata Consultancy Services (TCS) es una organización global líder en servicios de tecnología, consultoría y soluciones de negocio. Impulsamos la innovación y la transformación digital de las empresas más reconocidas del mundo, ofreciendo resultados reales y un nivel de certeza que nos distingue en la industria.Con presencia en más de 40 países y un equipo de más de 238,000 profesionales, en TCS creemos que el talento es el motor del crecimiento. Brindamos oportunidades para desarrollar tu carrera en un entorno diverso, inclusivo y colaborativo, participando en proyectos globales con clientes de alto impacto.Únete a TCS y construye certeza en tu futuro profesional!Rol: QA Tester AutomationModalidad de trabajo: HibridaRequisitos:+4 años de experiencia demostrable en automatización de pruebas de software, incluyendo la creación y mantenimiento de frameworks de automatización.Manejo de Cobol a nivel avanzado y experiencia con la herramientaDominio de al menos un lenguaje de programación como Java, c#JavaScript o similar.Experiencia con frameworks de automatización de pruebas como Selenium webdriver, Cypress, Appium, Cucumber.Conocimientos de metodologías de pruebas de sofware como Scrum, Kanban.Conocimiento en los tipos de pruebas como funcionales, regresión, integración, usabilidad.Experiencia en pruebas y automatización de APIs Rest/SOAP utilizando herramientas como Bruno, postman.Experiencia en gestión de casos de casos de prueba y defectos como Jira, TestLink.Experiencia en integración continua y despliegue continuo (CI/CD) utilizando herramientas como Jenkins, GitLab, Azure Devops Pipelines.Responsabilidades: Diseñar, desarrollar y mantener frameworks de automatización.Crear y ejecutar scripts de pruebas automatizadas.Identificar y reportar defectos.Integrar las pruebas automatizadas en el CI/CD.Analizar y mantener los resultados de las pruebasColaborar con el equipo agile.Mejorar la cobertura de pruebasDocumentar procesos y scripts de automatización.",https://pe.linkedin.com/jobs/view/qa-automatizador-at-tata-consultancy-services-4386937384?position=8&pageNum=0&refId=9ekpppNP20hvywnyJ9kMyQ%3D%3D&trackingId=7eAQ8LVof4qydfk%2FJ6i1QA%3D%3D
QA Lead Calibrator – Portuguese and English Speaking,eClerx,https://in.linkedin.com/company/eclerx?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",9 hours ago,,,"Job DescriptionQA Lead Calibrator- Call Center (Portuguese and English Speaking)_____________________________________________________________________________________________________________________________________________Location: Lima, PEType: Full-timeDepartment: Customer Operations_____________________________________________________________________________________________________________________________________________SummaryWe are seeking a detail-oriented, proactive, and collaborative Lead Calibrator (Portuguese and English Advanced) to join our Quality team. The ideal candidate will be bilingual (English and Spanish), experienced in quality assurance within BPO/KPO environments, and skilled at leading calibration sessions that drive alignment, consistency, and performance excellence.Responsibilities Act as a subject matter expert for assigned quality programs, leading calibration sessions and driving alignment on quality standards.  Collaborate with Global Quality, Operations, Training, COE, and client stakeholders to ensure consistent quality application.  Identify key themes and insights from calibrations and share concise, actionable summaries with stakeholders.  Manage calibration sessions end-to-end, including scheduling, documentation, follow-ups, and escalation of critical issues.  Contribute to clear governance and reporting processes to ensure insights translate into action.  Participate in ad hoc or periodic deep-dive analyses as needed.  Ensure compliance with quality, risk, and client standards. Eligibility Requirements Minimum 2-3 years of experience in quality assurance, including hosting and leading calibration sessions.  Strong written and verbal communication skills in both English and Portuguese (speaking, reading, and writing).  Analytical mindset to review trends and support effective calibration outcomes.  Ability to collaborate cross-functionally and communicate clearly with stakeholders.  Strong organizational and time-management skills, with the ability to work independently.  Availability to work 45 hours per week from Monday to Friday  Proficiency in Google Sheets, Excel, and presentation tools.  Proactive approach to continuous learning and professional development. What we offer: Competitive salary + performance incentives tied to key results.  Enrollment in payroll from day one (including training period).  Private health coverage from day one  Career growth opportunities in a global, innovative, and dynamic environment. About EClerxeClerx is a leading provider of productized services, bringing together people, technology and domain expertise to amplify business results.The firm provides business process management, automation, and analytics services to a number of Fortune 2000 enterprises, including some of the world’s leading financial services, communications, retail, fashion, media & entertainment, manufacturing, travel & leisure, and technology companies. Incorporated in 2000, eClerx is traded on both the Bombay and National Stock Exchanges of India. The firm employs more than 19,000 people across Australia, Canada, France, Germany, Switzerland, Egypt. India, Italy, Netherlands, Peru, Philippines, Singapore, Thailand, the UK, and the USA.For more information, visit www.eclerx.comYou can also find us on:https://www.linkedin.com/company/eclerx/https://www.indeed.com/cmp/Eclerx/abouthttps://www.glassdoor.com/eClerxeClerx is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability or protected veteran status, or any other legally protected basis, in accordance with applicable law. We are also committed to protecting and safeguarding your personal data. Please find our policy here",https://pe.linkedin.com/jobs/view/qa-lead-calibrator-%E2%80%93-portuguese-and-english-speaking-at-eclerx-4361540803?position=9&pageNum=0&refId=9ekpppNP20hvywnyJ9kMyQ%3D%3D&trackingId=tcSNKSejMUx0IjI%2FFHIRxw%3D%3D
QA Automatizador - Mar 26 - Med,Inetum,https://fr.linkedin.com/company/inetum?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Isidro, Peru",21 hours ago,,,"Descripción del empleoNos encontramos en la busqueda de un QA AutomatizadorRequisitos Herramientas de Automatización de Pruebas como Selenium, Karate DSL, Playwright, etc. [Básico] Conocimiento de lenguajes como Java, Python (Básico) Redacción de pruebas en lenguaje Gherkin [Intermedio] BDD [Intermedio] ATDD [Deseable] Herramientas de CI/CD como Jenkins, Gitlab, Azure DevOps. [Básico] Configuración de pipeline, ejecucion de pruebas Herramientas para pruebas de performance como Jmeter, Blazemeter, k6, etc. [Deseable] Pruebas de microservicios y/o APIs , uso de herramientas como Postman, Karate u otras [Intermedio] Herramientas de Gestión de Pruebas como JIRA, Zephyr, QMetry, etc. [Intermedio] Técnicas de diseño de casos de prueba [Intermedio] Marco de trabajo Agile (Scrum/Kanban) [Básico]Soft Skills Comunicación efectiva Proactividad Adaptación al cambio Orientación al aprendizajeInformación adicionalConsiderar que tendrán asistencia presencial por solicitud del cliente",https://pe.linkedin.com/jobs/view/qa-automatizador-mar-26-med-at-inetum-4386565831?position=10&pageNum=0&refId=9ekpppNP20hvywnyJ9kMyQ%3D%3D&trackingId=LPpWdmNAyDyiFpab9Je3MA%3D%3D
