Title job,Employer,Link profile employer,Location,How long ago,Recruiter,Profile recruiter,Description offer,Link offer
Analista QA - Remoto,KPaz,https://cl.linkedin.com/company/kpaz-latam?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",5 hours ago,,,"Somos KPaz, compañía que cuenta con 10 años en el mercado entregando soluciones de Innovación Tecnológica, Pioneros en desarrollos inteligentes, especialistas en transformación digital y líderes en consultoría TI apostando continuamente por el valor y talento de las personas que integran nuestro equipo de trabajo. Nos encontramos en búsqueda de más KPaces que quieran formar parte de nuestro gran equipo.Como Analista QA te encargarás de administrar y ejecutar el ciclo de vida de QA, para importante financiera.Requisitos Técnicos3 años de experiencia en el proceso de calidad de software.Experiencia en pruebas funcionales, pruebas de API y pruebas de regresión.Manejo en herramientas de gestión de proyectos: Selenium.Manejo otras herramientas: PostmanConocimientos de automatización.Deseable conocimiento en el rubro de financiero/bancario.Haber trabajado con BantotalBeneficiosPrograma de referidos clientes y candidatos.Programa de capacitación en alianza con Platzi.Plan de carrera y de Movilidad.Día de libre por cumpleaños.Regalos por nacimiento o matrimonio.¡Te esperamos en KPaz!",https://pe.linkedin.com/jobs/view/analista-qa-remoto-at-kpaz-4309685813?position=1&pageNum=0&refId=AdexP%2BbO4M%2BeRByg4c20Jg%3D%3D&trackingId=jdnwsTDjhhCHL1U74lfgGA%3D%3D
Analista QA,Altimea,https://pe.linkedin.com/company/altimea?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",1 day ago,,,"Altimea, consultora de tecnología e innovación digital, se encuentra en la búsqueda de un Analista QA.RequisitosExperiencia mínima de 3 años como Analista QA.Experiencia y conocimiento en herramientas de automatización de pruebas: Selenium, Playwright, Postman, Datox, Appium.Conocimiento en pruebas de integración, de interfaz (UI), de contratos (Pact/Datox), de regresión y exploratorias.Manejo Sistemas de seguimiento de incidencias y gestión de pruebas (Jira, TestRail, Zephyr, Azure Boards).Manejo de Postman, REST Assured, SoapUI, Datox.Pruebas de carga y rendimiento básicas (por ejemplo con JMeter o con scripts en Datox).Experiencia en testing en Android (Kotlin) y iOS (Flutter); emuladores y dispositivos reales.Experiencia trabajando con Azure DevOps (pipelines, repositorios, artefactos) y GitLab (repos, GitLab CI/CD).Experiencia usando servicios de Google Cloud Platform (p. ej. Cloud SQL, Pub/Sub, Stackdriver).Trabajo colaborativo en metodologías ágiles (Scrum/Kanban).FuncionesDiseñar, planificar y ejecutar planes de prueba (test plans) y casos de prueba (test cases) para aplicaciones web, APIs y móviles.Desarrollar y mantener suites de prueba automatizadas end‑to‑end y de integración.Identificar, reportar y hacer seguimiento de defectos utilizando herramientas de gestión de incidencias (p. ej. Jira, Azure Boards).Colaborar con desarrolladores y analistas en ciclos ágiles (Scrum/Kanban) para definir criterios de aceptación y calidad.Realizar pruebas de regresión, rendimiento y usabilidad.Validar despliegues en pipelines CI/CD (Azure DevOps, GitLab CI), asegurando la estabilidad en entornos de prueba y preproducción.Generar informes de métricas de calidad e indicadores de cobertura de pruebas.Colaborar con el equipo de desarrollo para mejorar la calidad de los productos.Autonomía y proactividad para proponer mejoras en procesos de calidad y automatización.CondicionesModalidad: híbrida(2 presencial, 3 remoto).Horario: full time.Duración de proyecto: 6 meses.",https://pe.linkedin.com/jobs/view/analista-qa-at-altimea-4309309077?position=2&pageNum=0&refId=AdexP%2BbO4M%2BeRByg4c20Jg%3D%3D&trackingId=fjNHZ5lTHEOb4TlJefM3%2FA%3D%3D
QA Analyst,Softtek,https://mx.linkedin.com/company/softtek?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Isidro, Peru",8 hours ago,,,"Softtek es un proveedor global de servicios orientados a procesos de TI con más de 30 oficinas en Norteamérica, Latinoamérica, Europa y Asia. Maximizamos el valor del software para el mundo: Creamos, Probamos, Implementamos y damos mantenimiento a sistemas que empoderan organizaciones e individuos. En la actualidad nos encontramos en la búsqueda de un talento para el perfil: QA AnalystRequisitos:Bachiller en Ingeniería de Sistemas, Ingeniería Informática, Ingeniería o carreras afines.4 años de experiencia como QA, Analista de Calidad. Experiencia en Pruebas Funcionales.Competencia técnica en Base de Datos como SQL, Oracle u otro.Conocimiento en pruebas de migracion de datos (indispensable)Conocimiento en AWS u otra nube Manejo de lenguaje GherkinExperiencia en el marco agil de scrumOfrecemos:Ingreso a planilla con todos los beneficios de ley.EPS al 100%Contrato IndefinidoCapacitación constante y línea de carrera.Podrás optar por los descuentos corporativos en empresas de entretenimiento, educación, entre otros.Contamos con una plataforma exclusiva virtual con más de 3,000 cursos orientados a potencializar tus habilidades técnicas como blandas.Te invitamos a conocer más sobre la #SofttekLife en: https://www.softtek.com/es-pe/haz-tu-carrera-en-softtekEn Softtek reconocemos que el talento es diverso; respetamos la identidad y condiciones de vida de cada persona y promovemos la equidad de trato y de oportunidades. Para lograr lo anterior, creamos un ambiente incluyente en el cual las personas muestran qué las define y emplean sus diferentes características para lograr mejores resultados.Por ello, promovemos la diversidad generacional, origen étnico, nacionalidad y la inclusión de personas con habilidades diferentes y/o discapacidad. En cumplimiento de la Ley N° 29733 y su reglamento.",https://pe.linkedin.com/jobs/view/qa-analyst-at-softtek-4308624455?position=3&pageNum=0&refId=AdexP%2BbO4M%2BeRByg4c20Jg%3D%3D&trackingId=ULJVEbqRo9RCtupX0Qdasg%3D%3D
Analista de calidad,Proyectum Peru,https://pe.linkedin.com/company/proyectumperu?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",2 hours ago,Daniela Letelier DurÃ¡n,https://cl.linkedin.com/in/daniela-letelier-dur%C3%A1n-2019,"¡En Proyectum queremos que seas nuestro próximo analista de calidad!Proyectum Perú, brinda como propósito el promover la aplicación de prácticas profesionales de Dirección de Proyectos, ofreciendo servicios de capacitación y consultoría. Así como también la incorporación de ofertas de servicios recurrentes, tales como Outsourcing de Profesionales.Junto a 12 países latinoamericanos compartimos marca, imagen corporativa y una serie de activosde información (Cursos, productos de consultoría y otros) nos presentamos como una organización internacional.Somos el principal ATP (Authorized Training Partner) del PMI en Latinoamérica, liderando la Dirección Exitosa de Proyectos y en la agilidad.🌟 ¡Buscamos Analistas de Calidad en Lima! 🌟📍 Lugar de desempeño: Lima 💻 Modalidad: Híbrida ⏰ Jornada: Completa¿Te apasiona garantizar la calidad y la excelencia en los productos? ¡Esta es tu oportunidad de unirte a un equipo dinámico y en crecimiento!🔎 ¿Qué harás en este rol?Diseñar e implementar planes de prueba para validar funcionalidad, rendimiento, usabilidad y compatibilidad.Ejecutar pruebas manuales y/o automatizadas para detectar errores y desviaciones.Documentar hallazgos y comunicar defectos al equipo de desarrollo.Colaborar en la solución de problemas y participar en revisiones de producto.Elaborar reportes con resultados y conclusiones de las pruebas realizadas.Asegurar el cumplimiento de estándares de calidad, normativas y requisitos.Supervisar la calidad en todas las fases del ciclo de vida del producto.Proponer mejoras y soluciones para optimizar procesos y resultados.🎓 RequisitosEstudios culminados en Ingeniería de Sistemas, Software o carreras afines.Deseables:Experiencia en análisis de datos.Experiencia en pruebas de software (QA, control de calidad).Conocimiento en auditorías de calidad y/o gestión de procesos.Inglés intermedio o avanzado.🙌 Lo que valoramos en tiAutonomía y proactividad.Orientación al logro y compromiso con la excelencia.Capacidad de análisis y visión estratégica.Habilidades de comunicación asertiva y liderazgo.Negociación, flexibilidad y organización.Trabajo en equipo y actitud colaborativa.🚀 ¿Por qué postular?Porque tendrás la oportunidad de:Trabajar en un entorno innovador y colaborativo.Desarrollar tu potencial en proyectos desafiantes.Ser parte de un equipo comprometido con la calidad y la mejora continua.👉 Si cumples con el perfil y quieres asumir este reto, ¡postula y crece con nosotros!¡ Ven y participa del proceso para que seas parte de la familia Proyectum!",https://pe.linkedin.com/jobs/view/analista-de-calidad-at-proyectum-peru-4308508772?position=4&pageNum=0&refId=AdexP%2BbO4M%2BeRByg4c20Jg%3D%3D&trackingId=Dd6OB%2BcxnAEN4A%2BZoX5v8Q%3D%3D
Analista QA,Ayesa,https://es.linkedin.com/company/ayesa?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",4 hours ago,,,,https://pe.linkedin.com/jobs/view/analista-qa-at-ayesa-4307292031?position=5&pageNum=0&refId=AdexP%2BbO4M%2BeRByg4c20Jg%3D%3D&trackingId=gbgWuzkwADcc7dj%2BGb8hSA%3D%3D
QA Híbrido,"10Pearls, LLC",https://www.linkedin.com/company/10pearls-llc?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Isidro, Peru",8 hours ago,,,,https://pe.linkedin.com/jobs/view/qa-h%C3%ADbrido-at-10pearls-llc-4309666172?position=6&pageNum=0&refId=AdexP%2BbO4M%2BeRByg4c20Jg%3D%3D&trackingId=eu%2FhjsFgv6iPRVihNGRQDw%3D%3D
ANALISTA QA,Ayesa,https://es.linkedin.com/company/ayesa?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Isidro, Peru",9 hours ago,,,,https://pe.linkedin.com/jobs/view/analista-qa-at-ayesa-4309651304?position=7&pageNum=0&refId=AdexP%2BbO4M%2BeRByg4c20Jg%3D%3D&trackingId=00xwqp7GX%2BVJFw%2FCuQduBw%3D%3D
QA Funcional (Híbrido),QDS - Quality & Development Software SAC,https://pe.linkedin.com/company/qds-group?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",11 hours ago,,,,https://pe.linkedin.com/jobs/view/qa-funcional-h%C3%ADbrido-at-qds-quality-development-software-sac-4309633316?position=8&pageNum=0&refId=AdexP%2BbO4M%2BeRByg4c20Jg%3D%3D&trackingId=W7Vd7RT46OhkUJSKqAJK%2FA%3D%3D
Analista de Aseguramiento y Control de Calidad,Peruvian Nature,https://pe.linkedin.com/company/peruviannature?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lurín, Peru",5 hours ago,,,,https://pe.linkedin.com/jobs/view/analista-de-aseguramiento-y-control-de-calidad-at-peruvian-nature-4309691453?position=9&pageNum=0&refId=AdexP%2BbO4M%2BeRByg4c20Jg%3D%3D&trackingId=K%2FNNqyKzk39kSDDsb5USBw%3D%3D
QA Automatizador Lima,NTT DATA Europe & Latam,https://es.linkedin.com/company/ntt-data-europe-latam?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",1 hour ago,,,,https://pe.linkedin.com/jobs/view/qa-automatizador-lima-at-ntt-data-europe-latam-4308507960?position=10&pageNum=0&refId=AdexP%2BbO4M%2BeRByg4c20Jg%3D%3D&trackingId=Y4uyT4cv98RcF0kIleb87g%3D%3D
