Title job,Employer,Link profile employer,Location,How long ago,Recruiter,Profile recruiter,Description offer,Link offer
Asistente de Calidad QA Oficina Chorrillos,CONSTRUREDES S.A.C (Página Oficial),https://www.linkedin.com/company/construredes-s-a-c-p%C3%A1gina-oficial?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chorrillos, Peru",55 minutes ago,,,"ASISTENTE DE CALIDAD PARA OFICINA REQUISITOSProfesional técnico egresado o estudiante de últimos ciclos en c.civilManejo de Autocad, lectura de planos.Deseable conocimiento en Normas, Decretos y Reglamentos de Construcción de Redes Externas de Gas Natural. Mínimo 6 meses de experiencia en cargos similaresOBJETIVOS DEL CARGO  Controlar y hacer seguimiento del cumplimiento de las normas técnicas de Gas Natural. Hacer inspecciones para corroborar la calidad del material (afirmado, asfalto, concreto) suministrado en obra. Verificación de tuberías de PE, insumos y accesorios para trabajos de termofusión y electrofusión para tendido de Redes de Gas Natural. Elaboración de dossier de calidad y documentación para obra Apoyo en control de equipos. COMPETENCIAS  Comunicación Efectiva. Manejo de Recursos. Manejo de presión. Credibilidad Técnica. Orientación al logro.BENEFICIOS  Ingreso a Planilla con todos los beneficios de ley. Sueldo 1,800 Bruto. Horario de Lunes a viernes de 7:30 a 6:00 pm",https://pe.linkedin.com/jobs/view/asistente-de-calidad-qa-oficina-chorrillos-at-construredes-s-a-c-p%C3%A1gina-oficial-4333500460?position=1&pageNum=0&refId=v6yHMLIVjHXp1crXygc%2F2w%3D%3D&trackingId=0T6Gwz52GHMgD5M4MN7WCA%3D%3D
Analista QA,Stefanini LATAM,https://br.linkedin.com/company/stefaninilatam?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Isidro, Peru",7 hours ago,Lic. Abigail Grimberg,https://ar.linkedin.com/in/lic-abigail-grimberg-389161151,"🔎 Analista QA SSR🎯 Tus principales desafíos serán:Planificación y diseño de pruebas: analizar requerimientos, elaborar planes y crear casos de prueba detallados.Ejecución de pruebas: funcionales, regresión, integración (APIs), usabilidad, rendimiento y seguridad en entornos web y de escritorio.Gestión de defectos: identificar, documentar y dar seguimiento a incidencias hasta su resolución.Colaboración activa: trabajar junto a desarrolladores, líderes y equipos de proyecto para garantizar la calidad del software.Mejora continua: proponer nuevas prácticas, herramientas y metodologías de testing.Automatización (deseable): desarrollar scripts de prueba automatizados para optimizar procesos.✅ Requisitos que buscamos:Formación técnica o universitaria en Ingeniería de Sistemas, Informática o afines.+2 años de experiencia en pruebas de software (web y escritorio).Experiencia en elaboración y ejecución de planes y casos de prueba.Conocimiento en APIs REST/SOAP y comprensión de lenguajes como C# o VB.NET.Manejo de herramientas de gestión de defectos (Jira, Redmine, Azure DevOps).Habilidades analíticas, comunicación efectiva y orientación al detalle.🌟 Plus que valoramos:Conocimiento en automatización (Selenium, Postman, SoapUI).Experiencia en pruebas de rendimiento y seguridad.Metodologías ágiles (Scrum/Kanban).Certificación ISTQB.Manejo de bases de datos SQL.📍 Modalidad y ubicación:Híbrido 3x2– San Isidro, Lima.",https://pe.linkedin.com/jobs/view/analista-qa-at-stefanini-latam-4320102065?position=2&pageNum=0&refId=v6yHMLIVjHXp1crXygc%2F2w%3D%3D&trackingId=Q2pBXlSBjpesfXW9fgWzZQ%3D%3D
QA (Data),Tsoft,https://ar.linkedin.com/company/tsoft?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",12 hours ago,,,"🔍 ¡Únete a nuestro equipo! Buscamos: QA Engineer / Data Analytics Tester 🔍¿Eres un/a profesional meticuloso/a con pasión por la calidad de los datos y el software? En nuestro equipo, estamos buscando a una persona como tú para garantizar la excelencia en nuestros proyectos de Data Analytics.Lo que buscamos:✅ Experiencia imprescindible:Mínimo 2 años de experiencia en proyectos de Data Analytics.Conocimiento sólido en niveles de prueba (Unitarias, Integración, Sistemas, Aceptación) y tipos de prueba (Funcionales, no funcionales).Dominio de técnicas de prueba (Caja Negra, Caja Blanca y basadas en experiencia).Experiencia práctica con Bases de Datos (SQL/Oracle/MySQL) y consultas SQL.Experiencia en pruebas de APIs (con Postman o SoapUI).✅ Experiencia deseable/diferencial:Certificación ISTQB Foundation Level (o conocimientos sólidos demostrables).Conocimiento en entorno AWS (especialmente Glue y Athena).Conocimientos básicos de Python.Experiencia básica en validación de dashboards.Manejo básico de herramientas de gestión de pruebas como Xray o Qmetry.Certificación en AWS (¡sería un plus excelente!).Ofrecemos:La oportunidad de trabajar en proyectos innovadores y de alto impacto.Un entorno de trabajo colaborativo y en constante aprendizaje.Oportunidades reales de crecimiento profesional.¿Te sientes identificado/a? ¡Nos encantaría conocerte!👉 ¿Cómo aplicar?Deja un comentario con la palabra ""QA"" o envíame un mensaje privado para más detalles.#Trabajo #OportunidadLaboral #QA #Testing #DataAnalytics #DataEngineering #ISTQB #SQL #Python #AWS #Postman #BuscandoTalento #EmpleoTech",https://pe.linkedin.com/jobs/view/qa-data-at-tsoft-4331710608?position=3&pageNum=0&refId=v6yHMLIVjHXp1crXygc%2F2w%3D%3D&trackingId=3G5JIoSh%2BWn8JbqflkYsDQ%3D%3D
QA Engineer (Functional & Automation),Softtek,https://mx.linkedin.com/company/softtek?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Borja, Peru",3 hours ago,Gabriela Pinedo Morales,https://pe.linkedin.com/in/gabriela-pinedo-morales-652251218,"¿Tienes ganas de construir un mejor futuro y dejar una huella importante en el mundo de la tecnología? ¡Sumate a #Softtek Perú!En Softtek buscamos un QA Funcional¿Qué esperamos de ti?Egresado y/o Bachiller de las carreras de Ingeniería en Computación e Informática, Sistemas o afines.Experiencia mínima de 2 años en QA, pruebas funcionales y manuales.Experiencia básica en automatización.Conocimientos técnicos:Pruebas end to end, análisis, diseño y ejecución de casos de prueba, gestión de defectos y seguimiento con los equipos de desarrollo y producto.Automatización de pruebas web y mobile (Deseable)Automatización de pruebas web y mobile (Deseable)¿Cuáles serán tus beneficios?Ingreso a planilla con todos los beneficios de ley.Tipo de contrato: IndeterminadoModalidad: HibridaHorario: 9am – 6pmEPS al 100% para colaborador + dependientes directos.Seguro oncológicoDías libres por cumpleaños y otra fecha importante.Descuentos corporativos en empresas de entretenimiento, educación, entre otros.Contamos con una plataforma exclusiva virtual con más de 3,000 cursos orientados a potencializar tus habilidades técnicas como blandas.Ven a vivir la #SofttekLife y disfrutá de:Capacitaciones constantesPlanes de carrera, actividades deportivas, programas de balance de Vida y muchos otrosPara construir un mejor futuro juntos, postúlate!En Softtek, respetamos y reconocemos la diversidad del talento, promoviendo la equidad de trato y oportunidades. Conoce nuestra Politica de Diversidad.https://www.softtek.com/transcend",https://pe.linkedin.com/jobs/view/qa-engineer-functional-automation-at-softtek-4333269462?position=4&pageNum=0&refId=v6yHMLIVjHXp1crXygc%2F2w%3D%3D&trackingId=EH6nRtuKZcim1Bv1qxygVA%3D%3D
Asistente de canales TI (Channel Assistant),LinkIT LATAM,https://www.linkedin.com/company/link-it-latam?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",6 hours ago,Eliana Cuadros P. Rozas,https://pe.linkedin.com/in/elianacuadrosprozas,"📍 Lima, PerúLinKIT LATAM es una consultora de desarrollo de negocios con foco en América Latina. En nombre de nuestro cliente —empresa líder global en software de Quality Assurance (QA)— buscamos un(a) Channel Assistant para apoyar la gestión comercial con socios estratégicos de la región.Responsabilidades:Brindar soporte comercial y operativo a los canales de venta en LATAM.Coordinar con partners y equipos internos el seguimiento de oportunidades.Mantener actualizado el CRM y generar reportes de avance.Apoyar en la organización de capacitaciones y actividades de marketing conjunto.Requisitos:Experiencia en soporte comercial, account management o coordinación administrativa.Inglés intermedio o avanzado (oral y escrito).Buen manejo de herramientas digitales (CRM, Excel, plataformas colaborativas).Interés por el sector tecnológico y los entornos internacionales.Competencias:Comunicación efectiva y orientación al cliente.Organización y atención al detalle.Proactividad y trabajo colaborativo.Capacidad de análisis y adaptación a entornos cambiantes.",https://pe.linkedin.com/jobs/view/asistente-de-canales-ti-channel-assistant-at-linkit-latam-4333318147?position=5&pageNum=0&refId=v6yHMLIVjHXp1crXygc%2F2w%3D%3D&trackingId=Kskw%2F3tefKIdM928zBreSA%3D%3D
Desarrollador .NET+React SemiSenior - Presencial,Ditech Group,https://es.linkedin.com/company/grupo-ditech?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",4 hours ago,Carolina Franco,https://co.linkedin.com/in/lcfrancoc,"Desarrollador .NET Fullstack Semi Senior – LimaPresencial - San Isidro📝 Descripción del cargoBuscamos un Desarrollador .NET Fullstack Semi Senior para unirse a nuestro equipo de desarrollo. La persona seleccionada participará en el análisis, diseño, implementación y mantenimiento de aplicaciones empresariales, trabajando con tecnologías Microsoft en el backend y frameworks modernos en el frontend.El rol requiere autonomía, capacidad de trabajo en equipo y orientación a resultados, participando en todas las fases del ciclo de vida del software.🎯 ResponsabilidadesDiseñar, desarrollar y mantener aplicaciones .NET en el backend y frameworks modernos en el frontend (Angular o React).Participar en la definición de arquitecturas y buenas prácticas de desarrollo.Colaborar con analistas, QA y líderes técnicos para garantizar entregables de calidad.Implementar APIs RESTful e integraciones con otros sistemas.Aplicar principios de Clean Code y patrones de diseño.Documentar procesos y funcionalidades desarrolladas.Realizar pruebas unitarias y de integración.Asegurar la performance, seguridad y escalabilidad de las aplicaciones.🛠️ RequisitosExperiencia de 3 a 5 años en desarrollo de software, preferiblemente en entornos corporativos.Sólidos conocimientos en:Backend: .NET Core / .NET 6+, C#, Web API.Frontend: Angular o React (nivel intermedio).Bases de datos: SQL Server (diseño, queries, stored procedures).Experiencia en consumo y desarrollo de APIs RESTful.Conocimientos en Entity Framework, LINQ.Experiencia con control de versiones (Git).Familiaridad con metodologías ágiles (Scrum/Kanban).Nivel de inglés intermedio (lectura técnica).⭐ DeseableConocimientos en Azure DevOps o AWS.Experiencia en CI/CD y despliegues automatizados.Manejo de contenedores (Docker).Buenas prácticas de testing (xUnit, NUnit o similar).🤝 OfrecemosContrato en planilla con todos los beneficios de ley en Perú.Modalidad de trabajo presencialCapacitación constante en nuevas tecnologías.Línea de carrera y crecimiento profesional.Excelente ambiente laboral y proyectos retadores.",https://pe.linkedin.com/jobs/view/desarrollador-net%2Breact-semisenior-presencial-at-ditech-group-4319104327?position=6&pageNum=0&refId=v6yHMLIVjHXp1crXygc%2F2w%3D%3D&trackingId=vA9yDgxkTY%2Bd0XTnmHccYQ%3D%3D
