Title job,Employer,Link profile employer,Location,How long ago,Recruiter,Profile recruiter,Description offer,Link offer
QA Automation Chatbot,Inetum,https://fr.linkedin.com/company/inetum?trk=public_jobs_jserp-result_job-search-card-subtitle,"Surquillo, Peru",11 hours ago,,,"Somos Inetum, una compañía de servicios ágiles que proporciona soluciones digitales y un grupo global de tecnólogos que acompaña a sus clientes en el proceso de digitalización aprovechando al máximo el digital flow.Ofrecemos a nuestros clientes una combinación única de proximidad, organización sectorial y soluciones de calidad. Presente en más de 26 países, el grupo tiene cerca de 27,000 colaboradores y apunta a seguir creciendo.¡En Inetum acompañamos a nuestros clientes y colaboradores en su camino al éxito!Si te gusta reinventarte y resolver problemas con nuevas estrategias, trabajar en proyectos de TI y negocios, ¡postula ahora!Actualmente nos encontramos en búsqueda de un 01 QA Automation para que se integre a nuestro equipo.¿Cuáles son los requisitos del puesto?Es responsable de asegurar la calidad del software a través de la implementación y ejecución de pruebas automatizadas, colabora estrechamente con los desarrolladores y otros miembros del equipo para identificar y resolver problemas de calidad desde las primeras etapas del desarrollo. Debe tener un sólido conocimiento en herramientas y frameworks de automatización, así como habilidades para diseñar, desarrollar y mantener scripts de prueba automatizados.[Conocimientos] Experiencia en proyectos Chatbotsaplicaciones conversacionalesMetodologías Ágiles: Scrum o Kanban.Ciclo de Vida del Desarrollo de Software (SDLC).Pruebas Automatizadas: Experiencia en el diseño, desarrollo y ejecución de scripts de prueba automatizados.Pruebas Funcionales y No Funcionales: Conocimiento en diferentes tipos de pruebas, incluyendo pruebas de regresión, pruebas de integración y pruebas de sistema.Análisis de Resultados de Pruebas: Habilidad para interpretar y analizar los resultados de las pruebas y reportar defectos de manera efectiva.¿Cuáles son los detalles de la posición?Modalidad trabajo remotoHorario de Lunes a Viernes de 8:30 a.m. a 6:30 p.m.Remuneración en planilla con todas las condiciones de ley.vale de alimentos (tarjeta Sodexo)Bonificación por trabajo remotoBeneficios corporativosAcceso a EPSCapacitaciones constantes acorde a tu línea de carrera y otras de interés general (plataformas de e-learning)La oportunidad de participar en retos altamente innovadores.Conoce más de nosotros en www.inetum.world/es o visita nuestras redes sociales como Inetum Perú para conocer más de nuestra cultura corporativa y metodologías de trabajo. ¡Te esperamos!En Inetum promovemos la diversidad de género, origen étnico, nacionalidad, la inclusión de personas con discapacidad y/o habilidades diferentes mediante la igualdad de oportunidades en todos los procesos, y buscamos ampliar las oportunidad de desarrollo profesional.",https://pe.linkedin.com/jobs/view/qa-automation-chatbot-at-inetum-4440579270?position=1&pageNum=0&refId=3%2FORoLsdTRSGgYCCv8KIfw%3D%3D&trackingId=hDYd%2FjmD3zo1h0H%2BBlecTA%3D%3D
QA Automation SDET,Infosys,https://in.linkedin.com/company/infosys?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",2 hours ago,Carlos Felix,https://pe.linkedin.com/in/pscarlosfelix,"About UsInfosys is a global leader in next-generation digital services and consulting. We enable clients in more than 50 countries to navigate their digital transformation. With over four decades of experience in managing the systems and workings of global enterprises, we expertly steer our clients through their digital journey. We do it by enabling the enterprise with an AI-powered core that helps prioritize the execution of change. We also empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight. Our always-on learning agenda drives their continuous improvement through building and transferring digital skills, expertise, and ideas from our innovation ecosystem.SDET OSS API===============Key Responsibilities• Design, develop, and maintain API automation test scripts for RESTful services (GET, POST, PATCH, DELETE).• Build and extend library-based automation frameworks (e.g., reusable helper libraries loaded via eval, shared Vars, Scripts, Apis modules).• Implement modular test flows with clear phases• Automate positive, negative, and edge-case scenarios• Implement dynamic test data handling, including:• Querying backend systems for test data• Retry logic for unstable or partial data• Variable chaining across requests• Automate test data setup and teardown, ensuring tests are repeatable and environment-safe.• Design, develop, and maintain a RESTful API to support automated and manual testing efforts.• Create, execute, and maintain SOAP-based tests• Validate event-driven calls and Windows service execution to ensure correct system behavior and reliability.• Leverage AI tools to augment gap analysis, accelerate test creation, and improve overall test coverage and effectiveness.• Proactively plan and design test scenarios, including regression and new-feature validation, based on code changes and system impacts.• Validate new code changes to ensure no regressions are introduced and that new functionality meets requirements and quality standards.• Collaborate with developers, QA, and DevOps to integrate automation into CI/CD pipelines (e.g., Newman execution).• Continuously refactor and improve automation for maintainability, scalability, and coverage.Required Technical Skills• Bachelor’s degree in Computer Science or equivalent professional experience• 5+ years of hands-on software test automation experience in enterprise environments• JavaScript (Advanced)• Functions, callbacks, async-style flows, error handling• JSON parsing and manipulation• C# API Development• API Automation• REST principles, HTTP methods, headers, status codes• Deep experience testing APIs beyond “happy path”• Postman / Newman• Test Framework Design• Reusable libraries and helpers• Modular, maintainable test structure• Data-driven and environment-agnostic tests• Test Data Management• Dynamic data discovery• Setup/cleanup automation• Idempotent and repeatable test execution• CI/CD Integration• Running API tests via Newman or similar tools• Interpreting and reporting automated test results• Performance Testing (Postman, NeoLoad, JUnit)Advanced English written and oral (mandatory).If you are interested please share us your resume/CV in EnglishEEOInfosys provides equal employment opportunities to applicants and employees without regard to race; color; sex; gender identity; sexual orientation; religious practices and observances; national origin; pregnancy, childbirth, or related medical conditions; status as a protected veteran or spouse/family member of a protected veteran; or disabiliity. Infosys provides equal employment opportunities to applicants and employees without regard to race; color; sex; gender identity; sexual orientation; religious practices and observances; national origin; pregnancy, childbirth, or related medical conditions; status as a protected veteran or spouse/family member of a protected veteran; or disability.",https://pe.linkedin.com/jobs/view/qa-automation-sdet-at-infosys-4427395272?position=2&pageNum=0&refId=3%2FORoLsdTRSGgYCCv8KIfw%3D%3D&trackingId=vnfT5gU62KUcd3Wiu6Sttg%3D%3D
QA Automation Engineer,Indra Group,https://es.linkedin.com/company/indragroupglobal?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Isidro, Peru",5 hours ago,Emilyn Fernandez,https://pe.linkedin.com/in/emilyn-fernandez-562559145,"🚀 En Indra buscamos un QA Automation Engineer apasionado por la calidad de software y la automatización de pruebas. Si cuentas con experiencia desarrollando frameworks de automatización, integrando pruebas en pipelines CI/CD y trabajando en entornos ágiles, ¡queremos conocerte!Principales responsabilidades:Diseñar y desarrollar soluciones de automatización para distintas aplicaciones.Incrementar la cobertura de pruebas automatizadas.Diseñar, implementar y evolucionar frameworks de automatización.Integrar pruebas automatizadas dentro de pipelines CI/CD.Analizar resultados de ejecución y gestionar defectos.Colaborar con equipos de Desarrollo, DevOps y QA para asegurar la calidad de las entregas.Proponer mejoras continuas en los procesos de testing y automatización.¿Qué buscamos?Mínimo 4 años de experiencia en automatización de pruebas.Experiencia sólida en programación orientada a objetos.Experiencia previa en desarrollo de software (deseable).Experiencia desarrollando pruebas automatizadas funcionales, de integración y regresión.Experiencia diseñando, implementando y manteniendo frameworks de automatización.Manejo de herramientas como Selenium, Playwright, Cypress o equivalentes.Dominio de al menos uno de estos lenguajes: Java, Python, JavaScript, C#Experiencia automatizando APIs REST.Manejo de Git y control de versiones.Experiencia integrando pruebas automatizadas en pipelines CI/CD.Conocimiento de herramientas como Jenkins, GitLab CI, GitHub Actions o Azure DevOps.Experiencia trabajando bajo metodologías ágiles (Scrum/Kanban).Será un plus si cuentas con experiencia en:Arquitecturas de microservicios.Docker y Kubernetes.Pruebas de performance.Prácticas DevOps y Quality Engineering.Certificación ISTQB o equivalente.Beneficios:🚑 EPS cubierta al 100%.📚 Acceso ilimitado a Udemy.🔖 Descuentos corporativos.📈 Línea de carrera.💆 ♀️ Kit ergonómico para trabajo en casa.🧠 Atención psicológica.🥦 Atención nutricional.Modalidad:📍 Híbrido: 2 veces al mes en San Isidro🕘 Lunes a viernes | 9:00 a.m. – 6:30 p.m.Si buscas nuevos desafíos en una compañía global de tecnología y consultoría, ¡postula y forma parte de Indra!",https://pe.linkedin.com/jobs/view/qa-automation-engineer-at-indra-group-4438022504?position=3&pageNum=0&refId=3%2FORoLsdTRSGgYCCv8KIfw%3D%3D&trackingId=kX1HMFYBNXv3ltnj8V%2FxHg%3D%3D
Analista senior de aseguramiento de la calidad de software,SOL TECHNOLOGIES,https://pe.linkedin.com/company/sol-technologies-sac?trk=public_jobs_jserp-result_job-search-card-subtitle,"Jesús María, Peru",2 hours ago,,,,https://pe.linkedin.com/jobs/view/analista-senior-de-aseguramiento-de-la-calidad-de-software-at-sol-technologies-4440872310?position=4&pageNum=0&refId=3%2FORoLsdTRSGgYCCv8KIfw%3D%3D&trackingId=%2FZYUBllxYiLhAHKuhICGlA%3D%3D
Analista QA Semi Senior,METRICA Perú,https://pe.linkedin.com/company/metricaperusac?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",5 hours ago,,,"¡Sé parte de METRICA!METRICA es una multinacional tecnológica con más de 25 años de experiencia, especializada en consultoría, outsourcing y desarrollo de soluciones que impulsan la transformación digital de organizaciones a nivel global. Con presencia en España, Perú, Chile, Portugal y EE. UU., trabajamos bajo estándares internacionales de calidad, innovación y gobierno corporativo, promoviendo un entorno sostenible, ético e inclusivo en todas nuestras operaciones.💡 Lo que harás en este rolDetectar defectos o errores en el software o producto antes de su liberación.Garantizar que el producto cumpla con los requisitos y expectativas del cliente o usuario.Prevenir problemas en lugar de simplemente encontrarlos una vez que ocurren.Validar y verificar que todas las funcionalidades trabajen correctamente bajo diferentes condiciones (funcionales y no funcionales).Proteger la experiencia del usuario final, asegurando que el producto sea fiable, estable y de alta calidad.Construir pruebas de automatización de los flujos funcionales que se vayan probando.Asegurar la calidad de software de los requerimientos asignados.Analizar, diseñar, preparar y ejecutar pruebas funcionales.Analizar, diseñar, preparar y ejecutar pruebas de rendimiento.Analizar, diseñar, construir y ejecutar pruebas automatizadas.Identificar, documentar y reportar defectos de manera clara y concisa.Colaborar activamente con el equipo de desarrollo para la resolución de defectos.🎯 Lo que esperamos de tiProfesional egresado de las carreras de Ingeniería de Sistemas, Informática y/o afinesExperiencia mínima de 3 años en roles relacionados con testing, calidad de software y/o automatización de pruebas.Experiencia trabajando en equipos Ágiles (Scrum) en coordinación con desarrolladores, líderes de proyecto y product ownerExperiencia en pruebas funcionales, no funcionales, pruebas de regresión, pruebas de aceptación de usuario (UAT), pruebas de integración.Certificación ISTQB Foundation Level (deseable).Experiencia con pruebas de API.Conocimientos en Base de Datos como: SQL Server.Conocimientos y experiencia en realización y configuración de pruebas con JMeter.Conocimientos y experiencia en construcción de pruebas automatizadas con Playwright.Disponibilidad para laborar bajo la modalidad híbrida, en el distrito de Lima.Modalidad híbrida: 2 días presenciales (o cuando se requiera)Horario: 8:30 a 6:30 p.m🎁 Lo que ofrecemosParticipación en utilidadesDesarrollo profesional y acceso a capacitaciones continuas.Integración a equipos internacionales y proyectos de alto impacto.Cultura colaborativa que promueve la innovación y el crecimiento sostenible.🌱 Nuestro compromisoEn METRICA promovemos la igualdad de oportunidades y la no discriminación en todos nuestros procesos de selección. Fomentamos entornos de trabajo diversos, inclusivos y respetuosos, donde cada persona pueda desarrollarse plenamente y aportar su talento.En cumplimiento de la Ley N.° 29973 – Ley General de la Persona con Discapacidad, esta convocatoria también está dirigida a personas con discapacidad.Nuestro enfoque está alineado con principios de sostenibilidad, responsabilidad social y buenas prácticas corporativas, reforzando nuestro compromiso con el desarrollo del talento y el impacto positivo en la sociedad.",https://pe.linkedin.com/jobs/view/analista-qa-semi-senior-at-metrica-per%C3%BA-4440838821?position=5&pageNum=0&refId=3%2FORoLsdTRSGgYCCv8KIfw%3D%3D&trackingId=xzfR%2BgngJz5SII9fpImK2w%3D%3D
Food Safety & Quality Specialist,PedidosYa,https://uy.linkedin.com/company/pedidosya?trk=public_jobs_jserp-result_job-search-card-subtitle,"Miraflores, Peru",12 hours ago,,,"PedidosYa forma parte de Delivery Hero, empresa líder mundial en servicios de delivery con presencia en ~65 países. PedidosYa es la empresa de tecnología líder en delivery y quick-commerce en Latinoamérica. Es una plataforma simple, rápida y accesible que conecta a millones de personas usuarias, empresas y repartidores con una amplia variedad de productos y servicios. PedidosYa opera en 15 países en latinoamérica, y en 2020 lanzó PedidosYa Markets, el primer mercado 100% digital que entrega alimentos y artículos para el hogar en 15 minutos. Delivery Hero cotiza en la Bolsa de Frankfurt desde 2017 y forma parte del índice bursátil MDAX.Descripción del empleoSer el referente local y punto de contacto para los stakeholders de operaciones del país y el equipo Regional, traduciendo las políticas corporativas en procesos ágiles para el negocio localGarantizar el cumplimiento de las normativas legales locales y las políticas y procedimientos establecidos a nivel Regional, y liderar los comités de crisis locales ante desvíos críticos o retiros de producto (recalls)Ejecutar el plan de auditorías y visitas técnicas E2E, abarcando proveedores estratégicos, DCs& HUBs y DMarts, dando seguimiento a las No Conformidades y desvíos detectados en las mismas. Definir, analizar y gestionar los principales KPIs de Food Safety & Quality Local, diseñando y ejecutando acciones de mejora continua ante desvíos operativos. Controlar la ejecución de los chequeos operativos periódicos en tienda, realizando verificaciones in situ y por sistema de registros de temperatura, registros y efectividad de control de plagas, rotación de stock por FEFO, estado higiénico-sanitario y mantenimiento edilicio. Gestionar e investigar los reclamos de clientes relacionados con la calidad de los productos y del servicio en las tiendas, implementando acciones preventivas para minimizar recurrencia y garantizar una experiencia extraordinaria. Asegurar el conocimiento y estandarización de los requisitos regulatorios y de las políticas regionales, traduciéndolos en rutinas diarias sencillas para la operación de campo. Participar en proyectos locales y la implementación de nuevos procesos que optimicen la experiencia del cliente, garantizando los más altos estándares de inocuidad alimentaria de punta a punta. RequisitosProfesional de Ingeniería en Industrias Alimentarias, Agroindustrial, Química, Nutrición o carreras afines. Con al menos 3 años de experiencia laboral, en posiciones similares. Capacidad analítica, pensamiento crítico y resolución de problemas. Orientación a la mejora continua y autonomía. Excelentes habilidades de comunicación y trabajo en equipo. Información adicionalEn PedidosYa, el impacto no se mide solo en resultados sino en cómo los alcanzamos. Buscamos al mejor talento: personas que vibren con nuestros valores, la forma en la que pensamos, decidimos y colaboramos todos los días.Lo que lográs es clave, pero el “cómo” lo hacés es lo que nos define. Jugando en equipo, hacemos que el negocio y nuestro ecosistema sigan creciendo, mientras le simplificamos el día a día a millones de personas.👉 Conocé nuestros valores aquí.La diversidad de talento potencia nuestra Cultura y nuestra organización. Jugamos en equipo en todo lo que hacemos, y lo que más nos gusta de eso es que promovemos la creación de equipos diversos e inclusivos que puedan aportar diferentes perspectivas a PedidosYa. Nuestras oportunidades laborales están abiertas a todas las personas, independientemente de su identidad de género, orientación sexual, origen étnico, religión, edad, discapacidad y/o otras características individuales.En caso de necesitar algún ajuste razonable o accesibilidad particular para tener la entrevista, por favor no dejes de aclararlo en tu postulación. Además, siéntete libre de indicarnos tus pronombres (él/ella/elle) desde el primer contacto.#CulturaPeYa #LaDiversidadNosPotencia",https://pe.linkedin.com/jobs/view/food-safety-quality-specialist-at-pedidosya-4430554151?position=6&pageNum=0&refId=3%2FORoLsdTRSGgYCCv8KIfw%3D%3D&trackingId=9ycrbMLBZCexMg5JWyZ8iw%3D%3D
Líder de Aseguramiento de Calidad,Minsait,https://es.linkedin.com/company/minsait?trk=public_jobs_jserp-result_job-search-card-subtitle,"Surquillo, Peru",7 hours ago,,,"¡Sé parte de nuestro equipo!El futuro se construye con talento. Y en Indra Group, estamos en búsqueda del tuyo.Estamos en la búsqueda de un Líder de Aseguramiento de CalidadRequisitos:Ingeniería de Sistemas, Ingeniería Informática, Ingeniería de Software o carreras afines.6+ años gestionando proyectos, que hayan incluido testing y calidad de software. Al menos 5 años liderando equipos o servicios, deseable proyectos de Testing o QA.CertificacionesScrum MasterPMP (deseable).Conocimientos asociados o requisitos:Gestión integral de ciclo de desarrollo de sw, de preferencia calidad y testing.Gobierno QA, métricas e indicadores.Gestión de riesgos y defectos.Herramientas de gestión QA (Jira, Xray, Confluence o similares), deseable.Funciones:Liderar el servicio de aseguramiento QA.Supervisar entregables, riesgos y hallazgos del proveedor.Gestionar reporting, indicadores y gobierno del servicio.Coordinar escalamientos y soporte a decisiones Go/No-Go.Modalidad híbrida (3 veces por semana) en Surquillo LimaHorarios: 09:00 am a 06:30 pm¿Qué ofrecemos?Seguro EPS cubierto al 100%Seguro Vida LeyPrograma de CertificacionesBienestar (psicólogo, nutricionista)Descuentos corporativosAcceso a plataforma de formación continua (Udemy)Cultura colaborativa, oportunidades reales de crecimientoProyectos tecnológicos de gran escala en clientes líderes",https://pe.linkedin.com/jobs/view/l%C3%ADder-de-aseguramiento-de-calidad-at-minsait-4438011512?position=7&pageNum=0&refId=3%2FORoLsdTRSGgYCCv8KIfw%3D%3D&trackingId=oaaPwKX%2B5PN7JzDBbYUi0A%3D%3D
Auxiliar de aseguramiento de la calidad,EMUSA,https://gt.linkedin.com/company/emusa-world?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chorrillos, Peru",2 hours ago,,,,https://pe.linkedin.com/jobs/view/auxiliar-de-aseguramiento-de-la-calidad-at-emusa-4438039232?position=8&pageNum=0&refId=3%2FORoLsdTRSGgYCCv8KIfw%3D%3D&trackingId=aTJJTk%2Fxq3fBUDCQCES8MQ%3D%3D
QA Funcional Senior | Proyecto de 1 mes,Indra Group,https://es.linkedin.com/company/indragroupglobal?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Isidro, Peru",3 hours ago,Emilyn Fernandez,https://pe.linkedin.com/in/emilyn-fernandez-562559145,"¿Tienes experiencia asegurando la calidad de soluciones de software y disfrutas participar en proyectos de alto impacto? En Indra buscamos un QA Funcional Senior para incorporarse a un proyecto puntual de 1 mes, donde podrás aportar tu experiencia en pruebas funcionales, metodologías de calidad y herramientas de testing.¿Qué buscamos?Más de 4 años de experiencia como QA Funcional.Bachiller o Titulado en Ingeniería de Sistemas, Informática o carreras afines.Conocimiento de metodologías y modelos de calidad de software.Experiencia con CMMI, ISTQB, Modelo V y RUP.Experiencia trabajando con metodologías ágiles y tradicionales.Conocimiento de Scrum, UML, TDD, BDD e Integración Continua.Experiencia en pruebas:Funcionales Regresión Integración Aceptación Smoke Test Performance VolumenManejo avanzado de consultas a Base de Datos (SQL).Experiencia validando Servicios Web, APIs y entornos AWS.Experiencia utilizando Postman, SoapUI o ReadyAPI.Manejo avanzado de Gherkin.Experiencia en automatización funcional con Serenity BDD.Principales responsabilidades:Diseñar el Plan de Testing, estrategia y casos de prueba.Preparar y gestionar la data necesaria para la ejecución de pruebas.Ejecutar casos de prueba y registrar defectos encontrados.Realizar seguimiento a incidencias hasta su resolución.Analizar y reportar resultados e indicadores de calidad.Brindar soporte durante procesos de integración y liberación.Validar que los entregables cumplan con los estándares de calidad.Proponer mejoras, metodologías y buenas prácticas para el proceso de QA.Monitorear indicadores y métricas de calidad del software.Beneficios:🚑 EPS cubierta al 100%.📚 Acceso ilimitado a Udemy.🔖 Descuentos corporativos.📈 Línea de carrera.💆 ♀️ Kit ergonómico para trabajo en casa.🧠 Atención psicológica.🥦 Atención nutricional.Modalidad📍 Híbrida (3 días presenciales en San Isidro)🗓️ Lunes a viernes🕘 9:00 a.m. – 6:30 p.m.📄 Contrato por proyecto (1 mes)",https://pe.linkedin.com/jobs/view/qa-funcional-senior-proyecto-de-1-mes-at-indra-group-4438030327?position=9&pageNum=0&refId=3%2FORoLsdTRSGgYCCv8KIfw%3D%3D&trackingId=kQ%2BLTYY6aGnBtNeSlBG5Zg%3D%3D
