Title job,Employer,Link profile employer,Location,How long ago,Recruiter,Profile recruiter,Description offer,Link offer
QA Ssr,Tsoft,https://ar.linkedin.com/company/tsoft?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",12 hours ago,,,"🔎 ¡Buscamos QA Jr. Funcional!¿Te apasiona la calidad del software y quieres seguir desarrollando tu carrera en testing?En Importante empresa del sector tecnológico nos encontramos en la búsqueda de un QA Jr. Funcional con aproximadamente 4 años de experiencia en pruebas manuales, para incorporarse a proyectos de alta visibilidad y contribuir a garantizar la calidad funcional de nuestras aplicaciones.Si disfrutas identificar oportunidades de mejora, documentar incidencias y asegurar que cada entrega cumpla con los estándares de calidad esperados, ¡queremos conocerte!🎯 Objetivo del PerfilAsegurar la calidad funcional de aplicaciones y soluciones tecnológicas mediante la planificación, diseño y ejecución de pruebas manuales. El rol estará enfocado en validar funcionalidades, identificar defectos y colaborar estrechamente con equipos de desarrollo y negocio para garantizar una experiencia de usuario óptima.🛠 Funciones PrincipalesAnalizar requerimientos funcionales, historias de usuario y documentación técnica para definir escenarios de prueba.Diseñar y ejecutar casos de prueba manuales funcionales, integrales y de regresión.Identificar, documentar y realizar seguimiento de incidencias detectadas durante los ciclos de prueba.Validar correcciones implementadas por los equipos de desarrollo.Participar en reuniones de refinamiento, planificación y seguimiento de proyectos.Elaborar evidencias y reportes de resultados de pruebas.Colaborar con equipos multidisciplinarios para garantizar el cumplimiento de los criterios de aceptación y calidad del producto.✅ Requisitos MínimosExperienciaMínimo 4 años de experiencia en QA Funcional / Testing Manual.Experiencia comprobable en ejecución de pruebas sobre aplicaciones web y/o sistemas corporativos.Experiencia en gestión y seguimiento de defectos.Experiencia previa en proyectos o compañías del sector Seguros.Certificación ISTQB Foundation o conocimientos equivalentes.Conocimientos TécnicosConocimientos de metodologías de pruebas de software.Elaboración y ejecución de casos de prueba, planes de prueba y matrices de validación.Manejo de herramientas de gestión y seguimiento de incidencias como Jira, Azure DevOps o similares.Conocimientos básicos de SQL para validación de información en bases de datos.Familiaridad con metodologías ágiles (Scrum/Kanban).Herramientas ComplementariasHerramientas de gestión de pruebas y defectos.Microsoft Office (Excel, Word y PowerPoint).FormaciónBachiller o titulado en Ingeniería de Sistemas, Informática, Computación o carreras afines.🚀 Te ofrecemosEPSBono de InternetCursos de Formación¡Postúlate y forma parte de un equipo comprometido con la excelencia y la calidad del software! 🎯",https://pe.linkedin.com/jobs/view/qa-ssr-at-tsoft-4445033108?position=1&pageNum=0&refId=jipPpQszVXil2Y%2Bk6y64pg%3D%3D&trackingId=GRY%2Bn8e9VTOXgdSN5p0NBg%3D%3D
Quality Assurance Automation Engineer,Tata Consultancy Services,https://in.linkedin.com/company/tata-consultancy-services?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",12 hours ago,Athira K V,https://in.linkedin.com/in/athira-k-v-a848a1228,"Únete a Tata Consultancy Services (TCS), líder mundial en servicios de TI, consultoría y soluciones empresariales. Buscamos un Ingeniero de QA Automation (Automatización de Pruebas) cualificado para integrarse a nuestro dinámico equipo en Perú y contribuir a la entrega de soluciones de software innovadoras y de alta calidad para clientes globales.Puesto: Ingeniero de QA Automation📍 Ubicación: Perú (Modalidad híbrida o presencial, según los requisitos del proyecto)💼 Experiencia: De 4 a 8 años🕒 Tipo de empleo: Tiempo completoResponsabilidades claveDiseñar, desarrollar y mantener frameworks y scripts de pruebas automatizadas.Ejecutar la automatización de pruebas funcionales, de regresión, de integración y de API.Colaborar con desarrolladores, analistas de negocio y equipos de producto para garantizar la calidad durante todo el ciclo de vida del desarrollo de software.Identificar, documentar y realizar el seguimiento de defectos de software.Analizar los resultados de las pruebas y ofrecer recomendaciones para la mejora continua de la calidad.Integrar las pruebas automatizadas en pipelines de CI/CD.Participar en ceremonias Agile y contribuir a los entregables de los sprints.Habilidades requeridas✔ Sólida experiencia en pruebas de automatización de QA (QA Automation Testing)✔ Experiencia práctica con Selenium WebDriver✔ Dominio de Java✔ Experiencia en automatización de pruebas de API utilizando Rest Assured o Postman✔ Conocimiento de TestNG, JUnit o Cucumber✔ Experiencia con JIRA y procesos de gestión de defectos✔ Comprensión de metodologías Agile/Scrum✔ Experiencia con Git y herramientas de CI/CD como Jenkins o Azure DevOpsCualificaciones deseablesExperiencia trabajando en entornos de microserviciosFamiliaridad con AWS, Azure o GCPConocimiento de SQL y pruebas de bases de datosExperiencia en pruebas de rendimiento (performance testing) es un plus¿Por qué unirse a TCS?✅ Trabajar con clientes globales y tecnologías de vanguardia✅ Cultura de trabajo colaborativa e inclusiva✅ Oportunidades de aprendizaje continuo y crecimiento profesional✅ Compensación y beneficios competitivosSi te apasiona la automatización de pruebas y la entrega de software de calidad excepcional, nos encantaría saber de ti.",https://pe.linkedin.com/jobs/view/quality-assurance-automation-engineer-at-tata-consultancy-services-4442175183?position=2&pageNum=0&refId=jipPpQszVXil2Y%2Bk6y64pg%3D%3D&trackingId=YO0JtgYfxU2Orc2GEsD2rA%3D%3D
QA Automation,Inetum,https://fr.linkedin.com/company/inetum?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",2 hours ago,,,"Somos Inetum, una compañía de servicios ágiles que proporciona soluciones digitales y un grupo global de tecnólogos que acompaña a sus clientes en el proceso de digitalización aprovechando al máximo el digital flow.Ofrecemos a nuestros clientes una combinación única de proximidad, organización sectorial y soluciones de calidad. Presente en más de 26 países, el Grupo tiene cerca de 27.000 colaboradores y apunta a continuar creciendo.¡En Inetum acompañamos a nuestros clientes y colaboradores en su camino al éxito!Si te gusta reinventarte y resolver problemas con nuevas estrategias, trabajar en proyectos de IT y de negocios: ¡Postula ahora!Actualmente nos encontramos en búsqueda de (01) QA Automation para que se integre a nuestro equipo asignado a uno de nuestros principales clientes:¿Cuál es el perfil ideal que estamos buscando?Egresado de las carreras universitarias de Ingeniería de Sistemas, Ingeniería Informática o Ingeniería de Software y/o afines.Experiencia mínima de 3 años como QA Automation, pruebas funcionales y manuales.Experiencia trabajando con herramientas y frameworks de automatización de pruebas, como Selenium, Cypress, Karate DSL etc. Experiencia en el diseño e implementación de casos de prueba y en la gestión de los resultados de pruebas de software.Experiencia en herramientas de CI/CD como Jenkins, entre otros.Pruebas de microservicios y/o APIs .Experiencia bajo Marco de trabajo Agile (Scrum).Familiaridad con lenguajes de programación comunes, como Java, Python, JavaScript, etcExperiencia trabajando con bases de datos relacionales y/o no relacionales.¿Qué vamos a ofrecerte como parte del equipo?Remuneración en planilla con todas las condiciones de ley.Tarjeta de AlimentosBeneficios corporativos a través de nuestra plataforma de descuentos.Capacitaciones constantes acorde a tu línea de carrera y otras de interés general (plataformas de e-learning).La oportunidad de participar en retos altamente innovadores.Línea de carrera.Conoce más de nosotros en www.inetum.com/es o visita nuestras redes sociales como Inetum Perú para conocer más de nuestra cultura corporativa y metodologías de trabajo. ¡Te esperamos!En Inetum promovemos la diversidad de género, origen étnico, nacionalidad, la inclusión de personas con discapacidad y/o habilidades diferentes mediante la igualdad de oportunidades en todos los procesos, y buscamos ampliar las oportunidades de desarrollo profesional.",https://pe.linkedin.com/jobs/view/qa-automation-at-inetum-4447243062?position=3&pageNum=0&refId=jipPpQszVXil2Y%2Bk6y64pg%3D%3D&trackingId=KqEIeGy9x%2BoNSnwhLSN7Bw%3D%3D
QA Automatizador (Semi Senior),Tata Consultancy Services,https://in.linkedin.com/company/tata-consultancy-services?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",6 hours ago,Angela Stefany Martinez Carhuaz,https://pe.linkedin.com/in/angelastefmc,"En TCS Perú, un QA Automatizador asegura la calidad y confiabilidad de las aplicaciones mediante la planificación, ejecución y automatización de pruebas, identificando y gestionando oportunamente defectos.Responsabilidades claveAnalizar requerimientos funcionales y técnicos para definir escenarios y casos de prueba.Diseñar, ejecutar y documentar pruebas funcionales, regresión, integración y aceptación.Realizar pruebas en aplicaciones web (front‑end y back‑end).Ejecutar pruebas en sistemas mainframe (online y batch).Validar procesos batch, cargas, interfaces y flujos transaccionales.Registrar, dar seguimiento y validar la corrección de defectos.Colaborar estrechamente con equipos de desarrollo, analistas funcionales y líderes de proyecto.Participar en ceremonias ágiles (planning, daily, review, retrospectiva).Asegurar el cumplimiento de estándares de calidad, buenas prácticas y documentación.Apoyar pruebas UAT y validaciones con usuarios de negocio.Identificar oportunidades de mejora en procesos de testing.Perfil del puestoMás de 3 a 4 años de experiencia en QA Automatización.Sólidos conocimientos de técnicas de pruebas de software para arquitecturas WEB.Sólidos conocimientos de base de datos, sentencias SQL y extractores de información (ETL).Conocimiento de herramientas de pruebas para servicios web o apis.Otras Consideraciones:Tata Consultancy Services es un empleador que ofrece igualdad de oportunidades, nuestro compromiso con la diversidad y la inclusión impulsa nuestros esfuerzos para brindar igualdad de oportunidades a todos los candidatos que satisfacen nuestras necesidades de conocimientos y competencias requeridas, independientemente de cualquier origen socioeconómico, raza, color, origen nacional, religión, sexo, identidad/expresión de género, edad, estado civil, discapacidad, orientación sexual u otro.",https://pe.linkedin.com/jobs/view/qa-automatizador-semi-senior-at-tata-consultancy-services-4447091540?position=4&pageNum=0&refId=jipPpQszVXil2Y%2Bk6y64pg%3D%3D&trackingId=yraiu0Hj%2BqK%2ByjeV1g4gNw%3D%3D
QA Automation,METRICA Perú,https://pe.linkedin.com/company/metricaperusac?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Isidro, Peru",6 hours ago,Manuel Rodriguez Romero,https://pe.linkedin.com/in/manuel-rodriguez-romero-43bb7618a,"¡Sé parte de METRICA!METRICA es una multinacional tecnológica con más de 25 años de experiencia, especializada en consultoría, outsourcing y desarrollo de soluciones que impulsan la transformación digital de organizaciones a nivel global. Con presencia en España, Perú, Chile, Portugal y EE. UU., trabajamos bajo estándares internacionales de calidad, innovación y gobierno corporativo, promoviendo un entorno sostenible, ético e inclusivo en todas nuestras operaciones.Actualmente buscamos incorporar a nuestro equipo a un:🔎 Analista QA Automation💡 Lo que harás en este rolDiseñar y ejecutar pruebas automatizadas para aplicaciones web, mobile y servicios API. Desarrollar soluciones de automatización utilizando herramientas como Selenium, Cypress y Cucumber. Automatizar pruebas de servicios REST mediante herramientas como Postman (Newman) y/o Karate Framework. Participar en la validación de procesos relacionados a banca, medios de pago digitales y adquirencia. Integrar pruebas automatizadas dentro de pipelines de integración y despliegue continuo (CI/CD). Analizar resultados de pruebas y reportar incidencias para asegurar la calidad del software. Colaborar con equipos de desarrollo, producto y operaciones para garantizar la estabilidad de las soluciones.🎯 Lo que esperamos de tiEgresado, Bachiller o Titulado en Ingeniería de Sistemas, Software, Informática o carreras afines. Mínimo 3 años de experiencia como QA Automation. Experiencia mínima de 1 año en banca, medios de pago digitales y/o adquirientes. Curso ISTQB Foundation Level (Obligatorio). Experiencia mínima de 1 año en programación con Java, JavaScript o TypeScript. Experiencia en automatización web con Selenium, Cypress y Cucumber. Experiencia en automatización de APIs REST con Postman (Newman) y/o Karate Framework. Experiencia en integración continua y despliegue continuo (CI/CD) con Jenkins o GitHub Actions. Conocimiento intermedio de SQL en motores relacionales (PostgreSQL, MySQL) y/o no relacionales (MongoDB).➕ Deseable:Certificación ISTQB Foundation Level. Certificación Agile Tester o ISTQB Automation Engineer. Experiencia en automatización mobile (Android) con Katalon Studio u otras herramientas similares.🕒 Condiciones del puestoHorario: Lunes a viernes de 09:00 a.m. a 06:00 p.m. Modalidad: Híbrida (1 a 2 veces por semana presencial) Tipo de proyecto: Fijo renovable Contratación: Planilla 100%🎁 Lo que ofrecemosParticipación en utilidades. Desarrollo profesional y acceso a capacitaciones continuas. Integración a equipos internacionales y proyectos de alto impacto. Cultura colaborativa que promueve la innovación y el crecimiento sostenible.🌱 Nuestro compromisoEn METRICA promovemos la igualdad de oportunidades y la no discriminación en todos nuestros procesos. Fomentamos entornos de trabajo diversos, inclusivos y respetuosos, donde cada persona pueda desarrollarse plenamente y aportar su talento.En cumplimiento de la Ley N° 29973 – Ley General de la Persona con Discapacidad, esta convocatoria también está dirigida a personas con discapacidad.Nuestro enfoque está alineado con principios de sostenibilidad, responsabilidad social y buenas prácticas corporativas, fortaleciendo nuestro compromiso con el desarrollo del talento y el impacto positivo en la sociedad.",https://pe.linkedin.com/jobs/view/qa-automation-at-metrica-per%C3%BA-4447097540?position=5&pageNum=0&refId=jipPpQszVXil2Y%2Bk6y64pg%3D%3D&trackingId=ywkQgtqdmhePyySt2VNWpg%3D%3D
(1515) QA Automation Engineer,Nortal,https://ee.linkedin.com/company/nortal?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",13 hours ago,,,"Join Nortal for your next big adventure. We are seeking a QA Automation Engineer to join our team, grow with us, and teach us a few things along the way.Why join NortalSay Goodbye to Micromanagement: We champion autonomy, open communication, and respect for diversity as our core values. Outcomes Over Hours: We believe in a work model focused on impact, providing you with the flexibility to balance your professional success with your personal well-being. Vibrant Community: Join our close-knit LATAM remote team and connect through tech talks, virtual coffee breaks, and team-building activities. Support from Day One: Our People Care team is here to support you throughout your journey, from wellness check-ins to professional growth. Our benefits ✨Competitive USD salary. 100% remote work: While you can work from anywhere, you’re always welcome to connect with teammates and grow your network at our coworking spaces across LATAM. Paid off & national holidays: Take the time you need according to your country’s regulations while receiving your full salary. Sick leave: Focus on your health without stress. Take the necessary time to recover and feel better. Annual credit: Spend it on the perks you love to enhance your work-life balance. Team-building activities: Join us for coffee breaks, tech talks, and after-work gatherings to bond with your Nortal family and feel part of our vibrant community. Birthday off: Enjoy an extra day off during your birthday week to celebrate in style with friends and family. About The ProjectAs a QA Automation Engineer, you will design, build, and maintain intelligent test automation frameworks that leverage artificial intelligence and machine learning tools to optimize software quality assurance. In this role, you will merge robust traditional automation practices with modern AI-driven testing techniques to accelerate test execution, expand coverage, and enhance fault detection across complex software delivery pipelines.What you’ll doDesign, develop, and maintain robust, scalable automated test frameworks incorporating AI-driven testing tools and capabilities. Implement machine learning algorithms and AI models to improve test suite performance, automated test generation, and failure analysis. Collaborate with cross-functional software development and product teams to integrate automated testing into CI/CD pipelines. Evaluate and select cutting-edge AI-enabled QA tools and frameworks to continuously upgrade the organization's testing ecosystem. Analyze test results, identify defect patterns, and perform root-cause analysis using intelligent diagnostic tools. Optimize test coverage and execution speed by applying predictive analytics to prioritize critical test scenarios. Establish quality assurance standards, best practices, and metrics for both traditional and AI-supported testing processes. Train and mentor QA team members on adopting AI-driven testing practices and modern automation techniques. Conduct exploratory and performance testing using smart tools to detect edge cases and potential system bottlenecks. Maintain clear and comprehensive documentation for automated test suites, test strategies, and system configurations. What makes you a great fit 🎯Bachelor's Degree in Computer Science, Engineering, or a related field. 4+ Years of experience as an SDET / QA Automation Engineer. Strong, hands-on coding skills in a modern language (JavaScript, Python, Java, or similar). Solid experience building and maintaining test automation suites integrated into CI/CD pipelines. Working knowledge of APIs, and exposure to security and performance testing concepts. Experience using AI tools (LLM-based assistants, AI test agents, tools like Applitools) to speed up test creation, defect triage, or regression analysis. Advanced English Level is required for this role, as you will work with US clients. Effective communication in English is essential to deliver the best solutions to our clients and expand your horizons.  Global Impact, Local Culture 🌍For over 25 years, we’ve been shaping digital transformation, delivering complex solutions for global enterprises and public sector organizations. Today, we are at the forefront of an AI-driven transformation era, helping organizations turn data into real business value. By combining deep domain expertise with data and AI, we design solutions that create immediate impact while scaling for the future.  We believe complexity doesn’t have to mean complicated, and that the best solutions are those that work in the real world, not just on paper. That’s why our clients trust us with their most ambitious, business-critical initiatives. Apply now and let’s shape the future of technology together! 🧑‍💻By applying to this position, you authorize Nortal to collect, store, transfer, and process your personal data in accordance with our Privacy Policy. For more information, please review our Privacy Policy.",https://pe.linkedin.com/jobs/view/1515-qa-automation-engineer-at-nortal-4446892933?position=6&pageNum=0&refId=jipPpQszVXil2Y%2Bk6y64pg%3D%3D&trackingId=0FVqazzfskCdkG7YX0C8jA%3D%3D
Quality Engineering Automation Novato Hibrido,Inetum,https://fr.linkedin.com/company/inetum?trk=public_jobs_jserp-result_job-search-card-subtitle,Lima Metropolitan Area,14 hours ago,,,"Descripción de la empresaSomos Inetum, líder europeo en soluciones digitales. Con un equipo de más de 28,000 consultores y expertos, nos esforzamos cada día para cumplir nuestro propósito: lograr un impacto digital en las empresas, más rápido, más fácil y para el bien de todas las personas.En Inetum acompañamos a nuestros colaboradores en su camino al éxito. Si te gusta reinventarte y resolver problemas con nuevas estrategias, trabajar en proyectos de tecnología innovadores y de negocios, ¡postula ahora! RequisitosExperiencia 0 a 2 años en QE Habilidades Técnicas principales Técnicas de Pruebas BDD Estrategias de pruebas Pruebas Backend (Incluido su automatización) Pruebas Web y Escritorio (incluido su automatización)",https://pe.linkedin.com/jobs/view/quality-engineering-automation-novato-hibrido-at-inetum-4438563271?position=7&pageNum=0&refId=jipPpQszVXil2Y%2Bk6y64pg%3D%3D&trackingId=iHJHBaya%2FJmEeq49zd5eEg%3D%3D
Ingeniero de Calidad,FGA Ingenieros S.A.,https://pe.linkedin.com/company/fga-ingenieros?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",5 hours ago,Nohelia Elizabeth E.,https://pe.linkedin.com/in/noheliaespinal,"En FGA Ingenieros somos una compañía líder en Ingeniería, Fabricación y Montaje de Estructuras Metálicas, con presencia destacada en el desarrollo de almacenes industriales, construcción integral y gerencia de proyectos a nivel nacional.Actualmente, buscamos incorporar a nuestro equipo de un Ingeniero de Calidad.Ingeniero de Calidad – Cobriza Huancavelica Requisitos:Ingeniero Civil o Ingeniero Industrial titulado y habilitado.Experiencia mínima de 1 años a partir de la habilitación.Encontrarse colegiado y habilitado. Experiencia montaje de estructuras metálicas en unidades mineras, o similares.Deseable experiencia en Sector Metalmecánico y/o Construcción.Manejo de Excel avanzado. Manejo del Python.Condiciones de Trabajo:Trabajo 20x10 en HuancavelicaViáticos CubiertosContrato en planilla completa",https://pe.linkedin.com/jobs/view/ingeniero-de-calidad-at-fga-ingenieros-s-a-4445061156?position=8&pageNum=0&refId=jipPpQszVXil2Y%2Bk6y64pg%3D%3D&trackingId=%2BA56cHHPHUxVXMFXd0Pd4w%3D%3D
Especialista / Supervisor QA/QC (Calidad),DIPREM Global,https://ar.linkedin.com/company/diprem-sa?trk=public_jobs_jserp-result_job-search-card-subtitle,"Callao, Constitutional Province of Callao, Peru",6 hours ago,,,"Especialista / Supervisor QA/QC (Calidad)¡Estamos buscando un/a Especialista / Supervisor QA/QC para importante proyecto industrial del sector Oil & Gas en Perú!Si contás con experiencia supervisando calidad en refinerías, paradas de planta o grandes proyectos industriales, esta oportunidad puede ser para vos.Principales responsabilidades:Supervisar actividades de aseguramiento y control de calidad (QA/QC).Verificar procedimientos, protocolos y registros de inspección. Revisar documentación técnica y dossiers.Coordinar controles de calidad durante la ejecución del proyecto.Elaborar reportes técnicos.Requisitos:Ingeniería Mecánica, Industrial, Química o afines.Más de 5 años de experiencia en refinerías o plantas de hidrocarburos.Conocimientos en QA/QC.Deseable experiencia con normas ASME, API, AWS y NACE.Disponibilidad para incorporarse de forma inmediata.Lugar de trabajo: Refinería La Pampilla, Callao – Perú.Modalidad: Presencial.Proyecto: Parada de Planta 2027.Esperamos tu postulación!",https://pe.linkedin.com/jobs/view/especialista-supervisor-qa-qc-calidad-at-diprem-global-4445046109?position=9&pageNum=0&refId=jipPpQszVXil2Y%2Bk6y64pg%3D%3D&trackingId=cAoBSaeyV1UoyegjFQjDNg%3D%3D
INSPECTOR ORGANICO,IQS - INSPECTION QUALITY STANDARDS,https://www.linkedin.com/company/iqs-certifications?trk=public_jobs_jserp-result_job-search-card-subtitle,"Miraflores, Peru",6 hours ago,,,"RequisitosBachiller o profesional universitario en Ingeniería Agronómica o carreras afines.Experiencia mínima de 2 años en inspección, certificación orgánica, sistemas internos de control o inspección interna.Conocimiento del esquema de certificación orgánica según RTPO (D.S. N.° 044-2006-AG, D.S. N.° 002-2020-MIDAGRI) y normativa relacionada.Conocimiento de la Norma ISO/IEC 17065.Curso de Auditor Líder ISO 19011.Conocimientos en producción orgánica, manejo integrado de plagas, producción animal y trazabilidad.Principales funcionesRealizar inspecciones orgánicas conforme a la normativa vigente y los procedimientos establecidos por OQSI.Ejecutar el proceso de inspección, incluyendo el llenado de checklists, levantamiento de no conformidades y elaboración de informes técnicos.Verificar el cumplimiento de los requisitos de certificación y la documentación presentada por los operadores.Evaluar la trazabilidad, cadena de custodia y registros del sistema de producción orgánica.Identificar, registrar y dar seguimiento a las no conformidades y acciones correctivas.Elaborar actas e informes de inspección con evidencia objetiva.Mantener una comunicación efectiva con los operadores durante todo el proceso de inspección.BeneficiosIngreso a planilla desde el primer día bajo Régimen General.Trabajo Híbrido de L-V de 9am a 6pmTodos los beneficios de ley.Oportunidades de capacitación y desarrollo profesional.Excelente clima laboral.Participación en proyectos de certificación e inspección a nivel nacional.Línea de crecimiento profesional.",https://pe.linkedin.com/jobs/view/inspector-organico-at-iqs-inspection-quality-standards-4447016780?position=10&pageNum=0&refId=jipPpQszVXil2Y%2Bk6y64pg%3D%3D&trackingId=6AYhpjBBsLpFo457YQY9fA%3D%3D
