Title job,Employer,Link profile employer,Location,How long ago,Recruiter,Profile recruiter,Description offer,Link offer
Líder QA,Periferia IT Group,https://co.linkedin.com/company/periferia-it-group?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",14 hours ago,,,"¡Prepárate para vivir una nueva etapa con Periferia IT Group! 🌟Si tienes experiencia como Líder QA y quieres generar un impacto en el mundo tecnológico, esta es tu oportunidad para unirte a nuestro equipo. Trabajarás con más de 1,000 profesionales en una multinacional colombiana líder en el sector TI, con fuerte presencia en América Latina y Estados Unidos. ¡Impulsa tu carrera con nosotros y haz crecer tu potencial! 🚀📈💼💻¿Te gustaría llevar tu carrera al siguiente nivel con Periferia IT Group?👥 Únete a nuestra cultura Periferia enfocada al servicio y la innovación, donde cada idea cuenta para superar las expectativas de nuestros clientes.🚀 Sumérgete en un entorno laboral dinámico que fomenta el aprendizaje continuo y el desarrollo personal.💡 Participa en proyectos desafiantes donde podrás aplicar tus conocimientos y habilidades para generar un impacto real.🤝 Disfruta de un equilibrio entre tu vida personal y laboral, mientras promovemos el bienestar integral de todos nuestros colaboradores.Para destacar en tu postulación debes:🎓 Ser Bachiller en Ingeniería de Software, Sistemas, Informática o disciplinas relacionadas.💻 Contar con experiencia superior a 3 años como Líder QA.📊 Dominar un nivel alto de estrategias de testing, testing en múltiples entornos, principios de automatización de pruebas y principios de pruebas no funcionales.🌱 Capacidad de adaptarse a nuevas tecnologías y enfoques innovadores para maximizar su impacto.Tus funciones específicas serán:📈 Diseñar e implementar estrategias de testing (manual, automatizado y performance).🧠 Gestionar los defectos y métricas de calidad.💼 Coordinar con equipos de Desarrollo, Seguridad y Negocio.Lo que encontrarás al unirte al mundo de Periferia IT Group:🏢 Trabajo presencial en San Isidro – Lima / Perú.📜 Contrato a plazo Determinado.💰 Salario negociable según experiencia y habilidades.🎁 Beneficios a la carta para tu bienestar y estilo de vida.¡Da el paso y únete hoy a nuestro equipo Periferia IT! 🎉",https://pe.linkedin.com/jobs/view/l%C3%ADder-qa-at-periferia-it-group-4395999072?position=1&pageNum=0&refId=83WMw6avjaJCSLjrS0UD5Q%3D%3D&trackingId=%2B84Dut9E8DosBLFH606v1w%3D%3D
Líder de calidad - QA,Stefanini LATAM,https://br.linkedin.com/company/stefaninilatam?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Borja, Peru",14 hours ago,Lic. Abigail Grimberg,https://ar.linkedin.com/in/lic-abigail-grimberg-389161151,"¡Sé parte de Stefanini!En Stefanini somos más de 30.000 genios, conectados desde 41 países, haciendo lo que les apasiona y co-creando un futuro mejor.Liderar la estrategia de calidad en la fábrica de desarrollo, asegurando la correcta planificación, ejecución y control de las pruebas, garantizando la calidad de los entregables y el cumplimiento de los estándares definidos.Funciones:Liderar la estrategia de pruebas dentro de la fábrica (certificación, regresión, automatización).Planificar, estimar y supervisar la ejecución de pruebas de certificación.Gestionar y validar la definición de casos de prueba.Supervisar la documentación de evidencias en herramientas corporativas.Asegurar el registro, seguimiento y cierre de defectos.Generar reportes de avance, ejecución y cierre de pruebas.Coordinar con equipos de desarrollo y negocio para asegurar la calidad del producto.Proponer e implementar mejoras en el proceso de calidad y automatización de pruebas.Liderar la ejecución de:Pruebas funcionalesPruebas integralesPruebas de sistemaPruebas de regresiónDefinir estrategias para pruebas en pases a producción y post-producción.Asegurar el uso de buenas prácticas (ISTQB) en la elaboración de casos de prueba.Validación de servicios: APIs (REST / SOAP)Uso de herramientas: Postman (servicios) / JMeter (pruebas de estrés)Requisitos y competencias:Obligatorios+5 años de experiencia en pruebas de certificación.Experiencia liderando equipos de QA en modelo fábrica o ágil.Certificación ISTQB Foundation o equivalente.Experiencia en gestión de defectos y ciclo de pruebas end-to-end.DeseablesExperiencia en automatización de pruebas.Conocimiento en herramientas de CI/CD y calidad (ej. SonarQube).Experiencia en entornos de alta demanda o transformación digital.",https://pe.linkedin.com/jobs/view/l%C3%ADder-de-calidad-qa-at-stefanini-latam-4396303104?position=2&pageNum=0&refId=83WMw6avjaJCSLjrS0UD5Q%3D%3D&trackingId=wVH6nsk3WOap7zK%2Fufc8kw%3D%3D
Functional Quality Assurance,Tata Consultancy Services,https://in.linkedin.com/company/tata-consultancy-services?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",12 hours ago,Athira K V,https://in.linkedin.com/in/athira-k-v-a848a1228,"¡Únete a una de las mayores empresas de servicios de TI del mundo! ¡Aquí podrás transformar tu carrera!¿Por qué formar parte de TCS? En TCS, creemos que las personas marcan la diferencia, por eso fomentamos una cultura de aprendizaje continuo, llena de oportunidades de mejora y desarrollo mutuo. El entorno ideal para expandir ideas con las herramientas adecuadas, contribuyendo a nuestro éxito en un ambiente colaborativo.Buscamos un Functional Quality Assurance con ganas de aprender y transformar su carrera.Descripción del trabajo:Revisar los requisitos del software y preparar escenarios de prueba.Ejecutar pruebas de usabilidad del software.Analizar los resultados de las pruebas sobre el impacto en la base de datos, errores o fallos, y usabilidad.Participar en reuniones de planificación de la aplicación.Asegurar que todo el trabajo relacionado con las pruebas se realice según los estándares y procedimientos definidos.Documentar y comunicar los resultados de las pruebas y elaborar informes detallados.Colaborar con el equipo de desarrollo de software para garantizar que se resuelvan los problemas del software.En TATA Consultancy Services, promovemos una cultura inclusiva y trabajamos siempre por la equidad. Esto se aplica a género, personas con discapacidad, personas LGBTQIA+, religión, raza y etnia; en resumen, todas nuestras oportunidades se desarrollan teniendo en cuenta estos principios. Desarrollamos diversas iniciativas de inclusión y responsabilidad social para construir una TCS que respete la individualidad. ¡Únete a TCS!#ConstruyendoSobreLaCreencia",https://pe.linkedin.com/jobs/view/functional-quality-assurance-at-tata-consultancy-services-4392923603?position=3&pageNum=0&refId=83WMw6avjaJCSLjrS0UD5Q%3D%3D&trackingId=O0EHudAe73m6KuGCyfbPmg%3D%3D
Technical Author - AI for QA (part-time),TripleTen Indonesia,https://id.linkedin.com/school/tripletenindonesia/?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",13 hours ago,,,"DescriptionNebius Academy is an educational platform that helps experienced software developers stay at the forefront of technological innovation. We create specialized courses that teach professionals how to effectively use AI tools in real-world development workflows.Our programs are designed to help engineers critically and productively apply artificial intelligence in their professional work, improving code quality, development speed, and overall work efficiency.Our mission: Provide engineers with access to cutting-edge knowledge in AI-assisted development and help them become leaders in the new era of programming.Who We're Looking ForWe are seeking experienced developers and technical experts (5+ years) with hands-on AI tools experience, a proven track record in tech leadership or mentoring, and the ability to explain complex concepts clearly. Ideal candidates are fluent in English, detail-oriented, able to work independently, and can commit 10-15 hours per week to creating educational content for professional developers.Please submit your resume in English.What You Will DoCollaborate with us to create a course structure that satisfies the target audience's needs.Create learning objectives for each content module for students together with instructional designers (if you don’t have experience with this, that’s ok. We’ll teach you and work on it together).Create clear, concise, and comprehensive content for lessons, manuals, guides, synchronous online sessions outlines, and assessments. Several iterations of content improvement can be necessary (in collaboration with an instructional designer). Content includes texts, draft slides, and screencasts.Participate as a speaker in our learning videos.Design the final project for the course.Ensure all content meets industry standards and aligns with the courses’ objectives.Participate in students’ feedback analysis and iterative content improvements based on the feedback.Additional: You can participate as a teacher in synchronous online learning sessions, if you wish; it is paid separately.⌛ This role requires 10-15 hours of availability per week. For the Spanish-speaking position, flexibility for Spanish and Latin American time zones is preferred.RequirementsProfessional experience in QA engineering, 5+ years.Hands-on experience with AI-assisted QA engineering tools (e.g. testRigor, Magic Inspector, Rainforest QA**,** etc.) and successful cases of their implementation.Proven track record in engineer advocacy, tech leadership, conference participation, or mentoring.Fluent in English (both written and spoken).Desire to share your knowledge and ability to describe difficult concepts in a comprehensible way.Strong attention to detail.Ability to work independently.Time commitment: able to devote 10 hours per week for collaboration.Nice To HaveExperience as a Technical Writer/Editor/Author or in a similar role.Experience in teaching or creating educational content.Your own experience as a student online.Interest in instructional design and education.What We Can Offer YouThe opportunity to create impactful content while maintaining your primary job: Share your expertise without leaving your current roleCompetitive hourly rate of $40-$85 USD for flexible part-time collaboration with significant impact and an amazing team!Remote cooperation with a schedule convenient for both you and the team: We don't focus on micromanagementCross-cultural experience: Become part of an international team and connect with professionals from diverse backgroundsMeaningful impact: Share your knowledge and help experienced engineers advance their skills through high-quality educational contentParticipation in innovative projects: Contribute to shaping the future of programming education and AI adoptionProfessional growth: Receive feedback and develop your skills as a technical content creator and thought leader",https://pe.linkedin.com/jobs/view/technical-author-ai-for-qa-part-time-at-tripleten-indonesia-4398495158?position=4&pageNum=0&refId=83WMw6avjaJCSLjrS0UD5Q%3D%3D&trackingId=BzLXWyLyFt76mFSiEd4d1w%3D%3D
Technical Author - AI for QA (part-time),TripleTen,https://www.linkedin.com/school/tripleten/?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",14 hours ago,,,"Nebius Academy is an educational platform that helps experienced software developers stay at the forefront of technological innovation. We create specialized courses that teach professionals how to effectively use AI tools in real-world development workflows.Our programs are designed to help engineers critically and productively apply artificial intelligence in their professional work, improving code quality, development speed, and overall work efficiency.Our mission: Provide engineers with access to cutting-edge knowledge in AI-assisted development and help them become leaders in the new era of programming.Who We're Looking ForWe are seeking experienced developers and technical experts (5+ years) with hands-on AI tools experience, a proven track record in tech leadership or mentoring, and the ability to explain complex concepts clearly. Ideal candidates are fluent in English, detail-oriented, able to work independently, and can commit 10-15 hours per week to creating educational content for professional developers.Please submit your resume in English.What you will do:Collaborate with us to create a course structure that satisfies the target audience's needs.Create learning objectives for each content module for students together with instructional designers (if you don’t have experience with this, that’s ok. We’ll teach you and work on it together).Create clear, concise, and comprehensive content for lessons, manuals, guides, synchronous online sessions outlines, and assessments. Several iterations of content improvement can be necessary (in collaboration with an instructional designer). Content includes texts, draft slides, and screencasts.Participate as a speaker in our learning videos.Design the final project for the course.Ensure all content meets industry standards and aligns with the courses’ objectives.Participate in students’ feedback analysis and iterative content improvements based on the feedback.Additional: You can participate as a teacher in synchronous online learning sessions, if you wish; it is paid separately.⌛ This role requires 10-15 hours of availability per week. For the Spanish-speaking position, flexibility for Spanish and Latin American time zones is preferred.Requirements:Professional experience in QA engineering, 5+ years.Hands-on experience with AI-assisted QA engineering tools (e.g. testRigor, Magic Inspector, Rainforest QA**,** etc.) and successful cases of their implementation.Proven track record in engineer advocacy, tech leadership, conference participation, or mentoring.Fluent in English (both written and spoken).Desire to share your knowledge and ability to describe difficult concepts in a comprehensible way.Strong attention to detail.Ability to work independently.Time commitment: able to devote 10 hours per week for collaboration.Nice to have:Experience as a Technical Writer/Editor/Author or in a similar role.Experience in teaching or creating educational content.Your own experience as a student online.Interest in instructional design and education.What we can offer you:The opportunity to create impactful content while maintaining your primary job: Share your expertise without leaving your current roleCompetitive hourly rate of $40-$85 USD for flexible part-time collaboration with significant impact and an amazing team!Remote cooperation with a schedule convenient for both you and the team: We don't focus on micromanagementCross-cultural experience: Become part of an international team and connect with professionals from diverse backgroundsMeaningful impact: Share your knowledge and help experienced engineers advance their skills through high-quality educational contentParticipation in innovative projects: Contribute to shaping the future of programming education and AI adoptionProfessional growth: Receive feedback and develop your skills as a technical content creator and thought leader",https://pe.linkedin.com/jobs/view/technical-author-ai-for-qa-part-time-at-tripleten-4399253736?position=5&pageNum=0&refId=83WMw6avjaJCSLjrS0UD5Q%3D%3D&trackingId=yZ96VwjbdQrEAu0pGxPSLA%3D%3D
QA Automation,Inetum,https://fr.linkedin.com/company/inetum?trk=public_jobs_jserp-result_job-search-card-subtitle,"Surquillo, Peru",5 hours ago,,,"Somos Inetum, una compañía de servicios ágiles que proporciona soluciones digitales y un grupo global de tecnólogos que acompaña a sus clientes en el proceso de digitalización aprovechando al máximo el digital flow.Ofrecemos a nuestros clientes una combinación única de proximidad, organización sectorial y soluciones de calidad. Presente en más de 26 países, el grupo tiene cerca de 27,000 colaboradores y apunta a seguir creciendo.¡En Inetum acompañamos a nuestros clientes y colaboradores en su camino al éxito!Si te gusta reinventarte y resolver problemas con nuevas estrategias, trabajar en proyectos de TI y negocios, ¡postula ahora!Actualmente nos encontramos en búsqueda de un 01 QA Automation para que se integre a nuestro equipo.¿Cuáles son los requisitos del puesto?Es responsable de asegurar la calidad del software a través de la implementación y ejecución de pruebas automatizadas, colabora estrechamente con los desarrolladores y otros miembros del equipo para identificar y resolver problemas de calidad desde las primeras etapas del desarrollo. Debe tener un sólido conocimiento en herramientas y frameworks de automatización, así como habilidades para diseñar, desarrollar y mantener scripts de prueba automatizados.[Conocimientos]Lenguajes de Programación: Python.Metodologías Ágiles: Scrum o Kanban.Ciclo de Vida del Desarrollo de Software (SDLC).Pruebas Automatizadas: Experiencia en el diseño, desarrollo y ejecución de scripts de prueba automatizados.Pruebas Funcionales y No Funcionales: Conocimiento en diferentes tipos de pruebas, incluyendo pruebas de regresión, pruebas de integración y pruebas de sistema.Análisis de Resultados de Pruebas: Habilidad para interpretar y analizar los resultados de las pruebas y reportar defectos de manera efectiva.[Certificaciones]ISTQB Certified Tester Foundation Level (CTFL)¿Cuáles son los detalles de la posición?Modalidad trabajo remotoHorario de Lunes a Viernes de 8:30 a.m. a 6:30 p.m.Remuneración en planilla con todas las condiciones de ley.vale de alimentos (tarjeta Sodexo)Bonificación por trabajo remotoBeneficios corporativosAcceso a EPSCapacitaciones constantes acorde a tu línea de carrera y otras de interés general (plataformas de e-learning)La oportunidad de participar en retos altamente innovadores.Conoce más de nosotros en www.inetum.world/es o visita nuestras redes sociales como Inetum Perú para conocer más de nuestra cultura corporativa y metodologías de trabajo. ¡Te esperamos!En Inetum promovemos la diversidad de género, origen étnico, nacionalidad, la inclusión de personas con discapacidad y/o habilidades diferentes mediante la igualdad de oportunidades en todos los procesos, y buscamos ampliar las oportunidad de desarrollo profesional.",https://pe.linkedin.com/jobs/view/qa-automation-at-inetum-4399467421?position=6&pageNum=0&refId=83WMw6avjaJCSLjrS0UD5Q%3D%3D&trackingId=3qec85cB41nMGMTp0idK%2FQ%3D%3D
Analista de calidad del software,DigitalHub,https://www.linkedin.com/company/digitalhubpe?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Isidro, Peru",6 hours ago,,,,https://pe.linkedin.com/jobs/view/analista-de-calidad-del-software-at-digitalhub-4399454466?position=7&pageNum=0&refId=83WMw6avjaJCSLjrS0UD5Q%3D%3D&trackingId=fH%2F8lkElE%2FRE0e9NZjYmEQ%3D%3D
QA Engineer II - Data,OpenLoop,https://www.linkedin.com/company/openloophealth?trk=public_jobs_jserp-result_job-search-card-subtitle,Lima Metropolitan Area,13 hours ago,,,"About OpenLoopOpenLoop was co-founded by CEO, Dr. Jon Lensing, and COO, Christian Williams, with the vision to bring care anywhere. Our telehealth support solutions are thoughtfully designed to streamline and simplify go-to-market care delivery for companies offering meaningful virtual support to patients across an expansive array of specialties, in all 50 states.About The RoleWe're seeking a QA Automation Engineer to join our Data Engineering team and take ownership of quality assurance across our data pipelines and infrastructure. This role will be instrumental in building and maintaining automated test suites that ensure the reliability and accuracy of our healthcare data systems. You'll work closely with a small, focused team of data engineers to establish testing strategies, prioritize coverage for critical data paths, and maintain quality standards as we scale.What You'll DoQuality Ownership: Own and maintain the automated test suite that runs in our CI pipeline, including integration tests, data quality checks, and smoke tests for our data infrastructure. Strategic Collaboration: Partner closely with data engineers to understand pipeline architecture, identify critical data paths, and develop comprehensive testing strategies that prioritize business-critical datapoints. Test Development: Write and maintain automated tests for data pipelines using Python and TypeScript, ensuring coverage across batch and event-driven workflows. Data Validation: Implement data quality checks including row counts, schema validation, key-column validation, idempotency testing, and duplicate handling across ETL processes. CI/CD Integration: Build and maintain testing frameworks that integrate seamlessly with our CI/CD pipelines using GitHub Actions, AWS CodePipeline, and CodeArtifact. Documentation & Standards: Document test cases, testing strategies, and coverage metrics to establish repeatable quality standards across the data team. Continuous Improvement: Identify testing gaps and systematically expand coverage toward end-to-end testing of critical data pipelines.Requirements 3 years of experience in QA automation or software testing, with a focus on data pipelines or backend systems. 3 years of hands-on experience with Python and TypeScript for test automation. Strong experience with CI/CD pipelines (GitHub Actions, AWS CodePipeline, CodeArtifact). Hands-on experience working with data lakes and ETL processes on AWS (familiarity with services like S3, Glue, Athena, Lambda, Step Functions, SQS, EventBridge). Experience with testing frameworks for Python (pytest, unittest) and TypeScript/JavaScript (Jest, Mocha). Understanding of data structures, data modeling concepts, and data lineage. Experience testing in a multi-tenant SaaS environment. English (C1/C2) fluency.Preferred Qualifications Experience testing monorepo architectures. Experience reading and understanding CDK or CloudFormation templates. Knowledge of data quality validation tools such as Great Expectations or similar frameworks. Experience testing event-driven architectures and distributed systems. Familiarity with HIPAA compliance requirements or regulated healthcare environments. Experience validating API Gateway integrations and serverless architectures. Strong problem-solving skills and ability to diagnose complex data quality issues. Excellent communication skills and ability to collaborate cross-functionally with engineering teams.Reports to: QA LeadOur BenefitsIn addition to competitive salaries, this role includes:Formal employment (“Planilla”) under a Peruvian entity — all legal benefits in soles (CTS, Gratificaciones, etc.).Full-time schedule: Monday–Friday, 9am–6pm.Unlimited vacation days 🏖️ — yes, we mean it!EPS healthcare (Rimac) covered 100%.Oncology insurance (Rimac) covered 100%.AFP retirement plan.Coworking access in Miraflores, Lima — with free beverages, talks, bicycle parking, and amazing city views.Company laptop and tools provided.Disclaimer: This position is also open for candidates with some kind of disabilities that are part of the CONADIS list. The coworking is adequate for people with special mobility needs.Our CompanyWe have a relatively flat organizational structure here at OpenLoop. Everyone is encouraged to bring ideas to the table and make things happen. This fits in well with our core values of Autonomy, Competence and Belonging, as we want everyone to feel empowered and supported to do their best work.Sound like a good fit? We’d love to meet you.",https://pe.linkedin.com/jobs/view/qa-engineer-ii-data-at-openloop-4376499519?position=8&pageNum=0&refId=83WMw6avjaJCSLjrS0UD5Q%3D%3D&trackingId=8kMMKuFwxz%2FGaF3QK87quA%3D%3D
Control de Calidad - Sector Consumo Masivo,Inversiones Castillo Orbegoso S.A.,https://pe.linkedin.com/company/icofoodservice?trk=public_jobs_jserp-result_job-search-card-subtitle,"Puente Piedra, Peru",4 hours ago,,,,https://pe.linkedin.com/jobs/view/control-de-calidad-sector-consumo-masivo-at-inversiones-castillo-orbegoso-s-a-4398639442?position=9&pageNum=0&refId=83WMw6avjaJCSLjrS0UD5Q%3D%3D&trackingId=YHApKfoeM00pEbIkdTFmHg%3D%3D
Analista de Gestión de la Calidad y QAQC,AIRTEC,https://pe.linkedin.com/company/airtec-sa?trk=public_jobs_jserp-result_job-search-card-subtitle,"Callao, Constitutional Province of Callao, Peru",3 hours ago,Alexandro T.,https://pe.linkedin.com/in/alexandro-t-85928ab9,"Objetivo: Asegurar el cumplimiento de estándares de calidad en procesos productivos, gestionando desviaciones, mejora continua y documentación del sistema de gestión.Funciones principales:Elaborar y actualizar planes de calidad e inspección.Analizar datos de control y gestionar no conformidades.Implementar acciones correctivas y preventivas.Administrar documentación del Sistema de Gestión (ISO 9001).Elaborar indicadores (KPIs) y reportes.Participar en auditorías internas.Evaluar proveedores y revisar dossiers de calidad.Controlar calibración de equipos de medición.Requisitos:Bachiller/Titulado en Ing. Industrial, Mecánica o afines.Especialización en gestión de calidad.Conocimiento en ISO 9001 y herramientas de mejora (Ishikawa, Pareto, 5 porqués).Excel intermedio/avanzado y manejo de ERP.Experiencia mínima de 2 años en QA/QC en sector industrial o metalmecánico.Responsabilidades:Garantizar trazabilidad del producto.Mantener actualizado el sistema de calidad.Cumplir normas de seguridad, salud y medio ambiente.",https://pe.linkedin.com/jobs/view/analista-de-gesti%C3%B3n-de-la-calidad-y-qaqc-at-airtec-4399486623?position=10&pageNum=0&refId=83WMw6avjaJCSLjrS0UD5Q%3D%3D&trackingId=0VLKk6g87sOPZBqYfT3j7Q%3D%3D
