Title job,Employer,Link profile employer,Location,How long ago,Recruiter,Profile recruiter,Description offer,Link offer
QA Tester,Softtek,https://mx.linkedin.com/company/softtek?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",9 hours ago,Katherine Alarcon Carbajal,https://pe.linkedin.com/in/katherine-alarcon-carbajal-b94359230,"Softtek es un proveedor global de servicios orientados a procesos de TI con más de 30 oficinas en Norteamérica, Latinoamérica, Europa y Asia. Maximizamos el valor del software para el mundo: Creamos, Probamos, Implementamos y damos mantenimiento a sistemas que empoderan organizaciones e individuos. ",https://pe.linkedin.com/jobs/view/qa-tester-at-softtek-4266787492?position=1&pageNum=0&refId=FE%2BI634JkTwacwTt2fzDNw%3D%3D&trackingId=L2WJbXP4qLCIrrKp7xK9zw%3D%3D
QA ENGINEER,Trabaja en UTP,https://pe.linkedin.com/company/trabaja-en-utp?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",9 hours ago,Lisbeth Curasma Taype,https://pe.linkedin.com/in/lisbeth-curasma-taype-759128148,"La Universidad Tecnológica del Perú, que forma parte del Grupo Intercorp y es parte del ranking de las mejores empresas para trabajar en el Perú según Great Place to Work*, se encuentra en búsqueda del mejor talento para ocupar la posición de “QA Engineer”. A continuación, los detalles.¿A quiénes bu",https://pe.linkedin.com/jobs/view/qa-engineer-at-trabaja-en-utp-4283546357?position=2&pageNum=0&refId=FE%2BI634JkTwacwTt2fzDNw%3D%3D&trackingId=J9bCsMM%2F9zOCkib5LmwATg%3D%3D
Jefe/a de Control y Aseguramiento de Calidad,SACYR,https://es.linkedin.com/company/sacyr?trk=public_jobs_jserp-result_job-search-card-subtitle,Lima Metropolitan Area,15 hours ago,,,"Somos un grupo global del Ibex 35 donde desarrollamos proyectos de concesiones, ingeniería y servicios, innovadores de alto valor, en los más de 20 países donde estamos presentes.Buscamos una persona como tú, que se sume a nuestro #RumboSacyr y nos ayude a seguir mejorando la vida de las personas. F",https://pe.linkedin.com/jobs/view/jefe-a-de-control-y-aseguramiento-de-calidad-at-sacyr-4258316648?position=3&pageNum=0&refId=FE%2BI634JkTwacwTt2fzDNw%3D%3D&trackingId=7aS%2BTcEKGclRmNmvOZPfyw%3D%3D
QA Junior,Confidencial,https://www.linkedin.com/company/confidencialrole?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",1 minute ago,,,"Nos encontramos en la búsqueda de (1) QA Junior para un cliente del sector bancario.🔹 Requisitos:Egresado o bachiller de las carreras de Ingeniería de Sistemas, Ingeniería Informática o afines. (Obligatorio)Experiencia de 6 meses a 1 año en QA / Testing (o prácticas profesionales).Ejecución de prueb",https://pe.linkedin.com/jobs/view/qa-junior-at-confidencial-4284012629?position=4&pageNum=0&refId=FE%2BI634JkTwacwTt2fzDNw%3D%3D&trackingId=gpmtdp1p6Q3IgIF6Hw1bcg%3D%3D
QA Automation,Indra,https://es.linkedin.com/company/indra?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",9 hours ago,,,"More digital. More human. More Minsait.Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible.Buscamos QA Automation con ganas de trabajar en nuestros equipos multidiscipl",https://pe.linkedin.com/jobs/view/qa-automation-at-indra-4283541912?position=5&pageNum=0&refId=FE%2BI634JkTwacwTt2fzDNw%3D%3D&trackingId=YkD5gelvgDAsJdcYMvTd9w%3D%3D
QA Automatizador,SOAINT,https://es.linkedin.com/company/soaint?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",5 hours ago,,,"¿Te apasiona el desarrollo tecnológico?🌍💙En SOAINT tenemos más de 15 años dedicados a transformar el mundo a través de la tecnología con soluciones de Analytics, Desarrollo, Automatización y más, con presencia en España y LATAM. Ahora estamos en búsqueda de un QA Automatizador para unirse a nuestro ",https://pe.linkedin.com/jobs/view/qa-automatizador-at-soaint-4283570028?position=6&pageNum=0&refId=FE%2BI634JkTwacwTt2fzDNw%3D%3D&trackingId=iWbCru6J3GG7QXQAKXwluA%3D%3D
QA Funcional Senior,Softtek,https://mx.linkedin.com/company/softtek?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",9 hours ago,Katherine Alarcon Carbajal,https://pe.linkedin.com/in/katherine-alarcon-carbajal-b94359230,"Softtek es un proveedor global de servicios orientados a procesos de TI con más de 30 oficinas en Norteamérica, Latinoamérica, Europa y Asia. Maximizamos el valor del software para el mundo: Creamos, Probamos, Implementamos y damos mantenimiento a sistemas que empoderan organizaciones e individuos. ",https://pe.linkedin.com/jobs/view/qa-funcional-senior-at-softtek-4266390651?position=7&pageNum=0&refId=FE%2BI634JkTwacwTt2fzDNw%3D%3D&trackingId=JAXSn%2Fax7ntw9hT3yjVDtw%3D%3D
Analista de aseguramiento de la calidad,Ayesa,https://es.linkedin.com/company/ayesa?trk=public_jobs_jserp-result_job-search-card-subtitle,Lima Metropolitan Area,7 hours ago,Manuela Valencia Ovalle,https://pe.linkedin.com/in/manuela-valencia-ovalle-634238b7,"Estimada red,Nos encontramos en búsqueda de un ANALISTA QA SAP para un proyecto clave en el sector de Energía.¿Qué buscamos?Profesionales titulados en Ingeniería de Sistemas, Informática o carreras afines.De 3 a 5 años de experiencia en Pruebas funcionales, integrales (E2E), regresión y aceptación d",https://pe.linkedin.com/jobs/view/analista-de-aseguramiento-de-la-calidad-at-ayesa-4283785976?position=8&pageNum=0&refId=FE%2BI634JkTwacwTt2fzDNw%3D%3D&trackingId=QVSBwxaaPCLVe%2FkUVKtuBA%3D%3D
QA Automatizador,NTT DATA Europe & Latam,https://es.linkedin.com/company/ntt-data-europe-latam?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",23 hours ago,Johana Ramirez Sheput,https://pe.linkedin.com/in/johana-ramirez-sheput-5b2700140,"Somos NTT DATA, la empresa de servicios TI más grande del mundo, contamos con más de 140.000 profesionales y operamos en más de 50 países. Brindamos soluciones de negocio, estrategia, desarrollo y mantenimiento de aplicaciones tecnológicas y outsourcing.Queremos seguir construyendo un entorno único ",https://pe.linkedin.com/jobs/view/qa-automatizador-at-ntt-data-europe-latam-4283323546?position=9&pageNum=0&refId=FE%2BI634JkTwacwTt2fzDNw%3D%3D&trackingId=iGF9o0UWGBk2NBe%2FFyh3lA%3D%3D
QA Engineer,Intelica,https://www.linkedin.com/company/intelica-hq?trk=public_jobs_jserp-result_job-search-card-subtitle,"Miraflores, Peru",4 hours ago,,,,https://pe.linkedin.com/jobs/view/qa-engineer-at-intelica-4283791362?position=10&pageNum=0&refId=FE%2BI634JkTwacwTt2fzDNw%3D%3D&trackingId=ajV0nErPz3ikBXCQ358HZw%3D%3D
