Title job,Employer,Link profile employer,Location,How long ago,Recruiter,Profile recruiter,Description offer,Link offer
QA Automation Analyst,GestionSource,https://pe.linkedin.com/company/gestionsource?trk=public_jobs_jserp-result_job-search-card-subtitle,"La Victoria, Peru",9 hours ago,,,,https://pe.linkedin.com/jobs/view/qa-automation-analyst-at-gestionsource-4346736642?position=1&pageNum=0&refId=ytWAbhQa6bEsLbcqnRZqYw%3D%3D&trackingId=PHt3McvfrdG2wgpJjnLMrQ%3D%3D
QA Engineer (IntrosMatter) - Remote Work,BairesDev,https://www.linkedin.com/company/bairesdev?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",11 hours ago,,,"IntrosMatter is a fast-growing startup that's redefining how companies generate leads — not through cold outreach, but by leveraging the power of real, existing relationships. We believe trust is the foundation of any successful business interaction, and our platform helps teams connect with high-quality prospects through their own networks.As we're still in an early stage, every new team member plays a key role in shaping both the product and the company. It's a great environment for people who are proactive, collaborative, and ready to make an impact.QA Engineer at IntrosMatterWe are looking for a QA Engineer to execute our QA process. This person must demonstrate a deep understanding of the application's intricate workflows, enabling them to envision and rigorously test complex scenarios. This role involves overseeing the end-to-end quality assurance lifecycle, ensuring the delivery of high-quality software solutions that align with the broader objectives of the Commercial Tribe.What You'll Do:- Test new applications by creating, executing, and maintaining test cases, ensuring full coverage of functional and non-functional requirements.- Automate test scenarios using Cypress for UI and API testing, maintaining reliability and reducing manual testing overhead.- Maintain and extend existing automation frameworks, adapting to code built by others and ensuring long-term scalability.- Conduct hands-on interactive QA sessions to share knowledge and help fellow QA members overcome challenges.- Assist the QA Cross department in tasks such as team guidance and documentation updates.What we are looking for:- 3+ years of experience in UI Automation (Frontend) using Cypress, Playwright, or Selenium.- 3+ years of experience in API Automation using Postman or Cypress.- 3+ years of experience in database data validation using SQL.- Strong focus on automation (70%) with manual testing capabilities (30%).- Advanced proficiency in English.Nice to have- Experience with AI tools and integration such as Claude, prompting, and Copilot.- Knowledge in Security Testing.- Knowledge in Data Integrity and validation.- Cloud experience.How we make your work (and your life) easier:- 100% remote - work from anywhere.- Excellent compensation in USD or your local currency if preferred.- Hardware setup for you to work from home.- Flexible hours - make your schedule.- Paid parental leave, vacation, & national holidays.- Innovative and multicultural work environment.- Collaborate and learn from the global Top 1% of talent in each area.- Supportive environment with mentorship, promotions, skill development, and diverse growth opportunities.Join a global team where your unique talents can truly thrive and make a significant impact!Apply now!",https://pe.linkedin.com/jobs/view/qa-engineer-introsmatter-remote-work-at-bairesdev-4329699095?position=2&pageNum=0&refId=ytWAbhQa6bEsLbcqnRZqYw%3D%3D&trackingId=fn%2FSi2MmMOtfoRsgcPGydg%3D%3D
QA Semi Senior,Bwit Perú,https://pe.linkedin.com/company/bwit-pe?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",11 hours ago,,,"RequisitosQA - Servicios ClaveAlmacenamiento & Consultas.S3: Almacenamiento de objetos para datos estructurados/no estructurados.Athena: Consultas SQL sobre datos en S3 usando motor Presto.DynamoDB: Base de datos NoSQL serverless (clave-valor, documentos).Procesamiento & OrquestaciónLambda: Código serverless ejecutado por eventos.Step Functions: Orquestación de workflows complejos.SageMaker: Plataforma completa para Machine Learning.Monitoreo & CI/CDCloudWatch: Monitoreo, métricas, logs y alertas.CodePipeline: Pipeline de CI/CD para despliegues automáticos.SNS: Servicio de notificaciones y mensajería.Habilidades SQL/QueriesLectura e interpretación de queries complejas.CTE (Common Table Expressions): Consultas temporales con WITH.Teradata (On-premise) y Athena/Presto (Cloud).Debugging y ejecución de scripts SQL.Git & GitHubCommit → Branch → Pull Request → Merge.commit, push, pull, branch, merge, rebase.Condiciones:Ingreso a planilla desde el primer día.",https://pe.linkedin.com/jobs/view/qa-semi-senior-at-bwit-per%C3%BA-4350799566?position=3&pageNum=0&refId=ytWAbhQa6bEsLbcqnRZqYw%3D%3D&trackingId=FDzWj1SdmavMPnDbdqBFPg%3D%3D
