Title job,Employer,Link profile employer,Location,How long ago,Recruiter,Profile recruiter,Description offer,Link offer
Responsable de Mejora Continua SSC,Coface,https://fr.linkedin.com/company/coface?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",11 hours ago,Catalina Mihalache,https://ro.linkedin.com/in/hrconsultantcatalinamihalache,"Coface es un líder global en seguros de crédito y gestión de riesgos, con más de 75 años de experiencia apoyando a más de 50,000 clientes corporativos en 60 países. En nuestra sede regional del Shared Services Center (SSC) en Lima, Perú, trabajamos de manera colaborativa para brindar soporte y soluc",https://pe.linkedin.com/jobs/view/responsable-de-mejora-continua-ssc-at-coface-4279639210?position=1&pageNum=0&refId=uJkCuWwdx28rjFwW07CRrg%3D%3D&trackingId=Gkkg%2FkBKpPeMr3dGbbcuOA%3D%3D
ANALISTA QA SEMI SENIOR,Ayesa,https://es.linkedin.com/company/ayesa?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Isidro, Peru",12 hours ago,,,,https://pe.linkedin.com/jobs/view/analista-qa-semi-senior-at-ayesa-4279626365?position=2&pageNum=0&refId=uJkCuWwdx28rjFwW07CRrg%3D%3D&trackingId=2GWRAdzmPY9gKWj0MALIbA%3D%3D
Chapter Lead QA,Inetum,https://fr.linkedin.com/company/inetum?trk=public_jobs_jserp-result_job-search-card-subtitle,Lima Metropolitan Area,6 hours ago,,,"Descripción de la empresaSomos Inetum, una compañía de servicios ágiles que proporciona soluciones digitales y un grupo global de tecnólogos que acompaña a sus clientes en el proceso de digitalización aprovechando al máximo el digital flow.Ofrecemos a nuestros clientes una combinación única de proxi",https://pe.linkedin.com/jobs/view/chapter-lead-qa-at-inetum-4279693086?position=3&pageNum=0&refId=uJkCuWwdx28rjFwW07CRrg%3D%3D&trackingId=7F4Mo6qx2Qw2ZA%2Bmw1J3iA%3D%3D
Analista QA Automatizador Senior (24256),INFORMÁTICA DELTA SAC,https://pe.linkedin.com/company/informatica-delta-sac?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Isidro, Peru",11 hours ago,,,"Somos una empresa de TI enfocada a brindar soluciones a clientes de diferentes rubros a nivel nacional. Nos encontramos en la búsqueda de una persona comprometida, capaz de trabajar en equipo, que prioricen la calidad de su trabajo y sean muy proactiva para ocupar el puesto de Analista QA Automatiza",https://pe.linkedin.com/jobs/view/analista-qa-automatizador-senior-24256-at-inform%C3%A1tica-delta-sac-4279634612?position=4&pageNum=0&refId=uJkCuWwdx28rjFwW07CRrg%3D%3D&trackingId=bG4loRVqvoWtiuvCZ9dnUQ%3D%3D
Ingeniero QA Automatizador,Grupo CINTE,https://mx.linkedin.com/company/grupo-cinte?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",9 hours ago,,,"¡Buscamos Ingeniero QA Automatizador!Ubicación: Híbrido - Lima, PerúNivel: Intermedio (2 a 4 años de experiencia)Descripción del puesto:Buscamos un Ingeniero de Calidad - Automatizador que se una a nuestro equipo para asegurar la calidad de nuestras soluciones tecnológicas. Este rol es ideal para pr",https://pe.linkedin.com/jobs/view/ingeniero-qa-automatizador-at-grupo-cinte-4279706030?position=5&pageNum=0&refId=uJkCuWwdx28rjFwW07CRrg%3D%3D&trackingId=pu9RgK2NdA9q1NICOD38mA%3D%3D
Java QA Automatizador,Synopsis S.A.,https://pe.linkedin.com/company/synopsis-s.a.?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chorrillos, Peru",10 hours ago,,,"En Synpsis empresa Líder de tecnología, nos encontramos en búsqueda de un JAVA QA AUTOMATIZADOR SENIORSkill Requerido: Experiencia de +4 años como automatizador de pruebas Importante la experiencia automatizando con Java (indispensable a nivel senior)Experiencia de +4 años automatizando pruebas para",https://pe.linkedin.com/jobs/view/java-qa-automatizador-at-synopsis-s-a-4279641954?position=6&pageNum=0&refId=uJkCuWwdx28rjFwW07CRrg%3D%3D&trackingId=WOYJNtPPtOpO67smUrOGIA%3D%3D
