Title job,Employer,Link profile employer,Location,How long ago,Recruiter,Profile recruiter,Description offer,Link offer
QA Automation,Tsoft,https://ar.linkedin.com/company/tsoft?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",22 hours ago,,,"¿Te apasionan los desafíos y tu objetivo es dar la milla extra siempre? ¡Tsoft es tu lugar!🔐 Analista Automatizador y Performance de APIsPerfil orientado a la automatización, validación de contratos y pruebas de performance de servicios (APIs).RequisitosMínimo 3 años de experiencia en pruebas de software.Al menos 1 año de experiencia en automatización y performance de APIs.Experiencia en diseño de casos de prueba utilizando Gherkin/BDD (cucumber).Conocimiento en TypeScript y Playwright (obligatorio).Experiencia en pruebas de rendimiento con JMeter (diseño, construcción, ejecución y análisis de resultados).Experiencia en control de versiones con Git, preferentemente en Bitbucket (branching, pull requests, code reviews).Manejo de gestores de dependencias como npm para proyectos de automatización.👉Si te interesa, no dudes en contactarnos!",https://pe.linkedin.com/jobs/view/qa-automation-at-tsoft-4428269075?position=1&pageNum=0&refId=Lz1tV20PMhHmVgp%2FeR1Lfg%3D%3D&trackingId=5t3TGGenSa%2B8xCA%2F1VDb6g%3D%3D
Jefe de Servicio – Fábrica de Pruebas (QA),Hitss Perú,https://pe.linkedin.com/company/hitss-peru?trk=public_jobs_jserp-result_job-search-card-subtitle,"La Victoria, Peru",21 hours ago,Gabriela Correa Fuentes,https://pe.linkedin.com/in/mgabrielacf,"En HITSS Perú buscamos un(a) Jefe de Servicio – Fábrica de Pruebas para liderar la operación de QA de un importante proyecto del sector telecomunicaciones. Si cuentas con experiencia gestionando equipos de testing y asegurando la calidad de servicios TI, esta oportunidad es para ti.Funciones principales:Gestionar y supervisar la operación integral del servicio de QA.Garantizar el cumplimiento de acuerdos contractuales, KPIs y SLAs.Liderar equipos de QA funcional, automatización, performance, despliegue y seguridad.Definir estrategias de pruebas y asegurar su correcta ejecución.Implementar mejoras continuas y buenas prácticas de calidad (Shift-Left Testing, QAOps).Gestionar riesgos del servicio y proponer acciones preventivas.Elaborar reportes e indicadores de desempeño para la operación.Impulsar la automatización de pruebas y la optimización continua del servicio.Requisitos:Profesional en Ingeniería de Sistemas, Informática, Telecomunicaciones o carreras afines.Experiencia mínima de 5 años en QA/Testing.Experiencia mínima de 3 años liderando servicios o fábricas de pruebas.Conocimiento comprobado en PMP e ITIL Foundation.Certificación ISTQB (indispensable).Experiencia en metodologías ágiles (Scrum, Kanban), DevOps y CI/CD.Conocimiento de herramientas de automatización como Selenium, Cypress o Playwright.Manejo de herramientas de pruebas API (Postman, RestAssured) y rendimiento (JMeter, LoadRunner).Experiencia con Jira, Azure DevOps, Jenkins y GitLab CI.Conocimientos de arquitectura de software, microservicios y bases de datos SQL.",https://pe.linkedin.com/jobs/view/jefe-de-servicio-%E2%80%93-f%C3%A1brica-de-pruebas-qa-at-hitss-per%C3%BA-4430986631?position=2&pageNum=0&refId=Lz1tV20PMhHmVgp%2FeR1Lfg%3D%3D&trackingId=qdEeRRrxjrZhgrmVRJ250w%3D%3D
Cloud Infrastructure Engineer,Welocalize,https://www.linkedin.com/company/welocalize?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lima, Peru",23 hours ago,,,,https://pe.linkedin.com/jobs/view/cloud-infrastructure-engineer-at-welocalize-4429674067?position=3&pageNum=0&refId=Lz1tV20PMhHmVgp%2FeR1Lfg%3D%3D&trackingId=Ioc0sJiLUf6MKmzGg%2FXGuw%3D%3D
